round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:53:25,0.916667,0.529727,0.317355,0.664702,0.883665,0.422208
2,13:54:18,0.983333,0.143371,0.324303,0.711861,0.893902,0.412408
3,13:55:21,1.0,0.044974,0.330343,0.742732,0.899664,0.432645
4,13:56:21,0.916667,0.188442,0.331777,0.737462,0.899818,0.432588
5,13:57:20,0.916667,0.256825,0.331931,0.72196,0.904752,0.43218
6,13:58:19,0.966667,0.11266,0.335647,0.726013,0.908218,0.441609
7,13:59:18,0.933333,0.158134,0.340751,0.728224,0.915744,0.45158
8,14:00:17,0.966667,0.12786,0.345687,0.73357,0.921587,0.462853
9,14:01:16,0.95,0.110965,0.350414,0.734302,0.927497,0.467894
10,14:02:15,1.0,0.046176,0.354136,0.739241,0.931653,0.474632
11,14:03:14,0.966667,0.078161,0.356786,0.740318,0.933388,0.480368
12,14:04:13,0.966667,0.128868,0.360415,0.738631,0.93515,0.486418
13,14:05:11,1.0,0.054345,0.361524,0.740026,0.937857,0.489224
14,14:06:10,0.966667,0.095676,0.364289,0.739047,0.940575,0.493529
15,14:07:09,0.983333,0.061896,0.366472,0.73666,0.941958,0.496622
16,14:08:08,0.983333,0.059687,0.368651,0.738105,0.942673,0.500666
17,14:09:07,1.0,0.017622,0.368918,0.744867,0.94563,0.5033
18,14:10:05,1.0,0.026454,0.369572,0.747227,0.948731,0.506034
19,14:11:04,0.966667,0.074411,0.371181,0.748238,0.951124,0.509954
20,14:12:04,0.983333,0.025146,0.373835,0.747654,0.952024,0.513892
