round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,11:20:15,0.966667,0.434208,0.318231,0.666433,0.884882,0.424231
2,11:21:10,1.0,0.14287,0.32567,0.711592,0.896883,0.416372
3,11:22:13,1.0,0.041273,0.33205,0.742598,0.904057,0.438197
4,11:23:12,0.866667,0.443251,0.329238,0.722542,0.908509,0.431781
5,11:24:10,0.816667,0.534879,0.324671,0.690808,0.908613,0.438245
6,11:25:08,0.866667,0.291697,0.327155,0.676646,0.919907,0.451275
7,11:26:07,0.9,0.266643,0.333622,0.667996,0.936127,0.464667
8,11:27:05,0.966667,0.15158,0.34017,0.676887,0.948976,0.479801
9,11:28:04,0.95,0.195135,0.346141,0.67978,0.954996,0.496567
10,11:29:03,0.95,0.148529,0.351954,0.688773,0.961123,0.514567
11,11:30:01,0.966667,0.13287,0.35545,0.693518,0.968932,0.517564
12,11:31:00,0.966667,0.132414,0.35938,0.692168,0.976119,0.535454
13,11:31:58,0.933333,0.190563,0.362149,0.697133,0.981439,0.530241
14,11:32:57,0.966667,0.105907,0.365111,0.697367,0.989103,0.541259
15,11:33:55,0.95,0.158688,0.366122,0.698265,0.995636,0.548181
16,11:34:54,0.966667,0.063126,0.367701,0.69516,0.997745,0.540647
17,11:35:53,0.95,0.143368,0.368821,0.689201,0.999296,0.550336
18,11:36:52,0.95,0.105174,0.370599,0.694564,1.003144,0.559318
19,11:37:51,0.966667,0.100995,0.372769,0.699973,1.004763,0.559842
20,11:38:49,0.983333,0.034544,0.374359,0.703164,1.007353,0.571001
