round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:31:50,0.85,0.525682,0.319243,0.664135,0.883822,0.419568
2,13:32:43,1.0,0.14128,0.325997,0.711714,0.895356,0.407892
3,13:33:42,1.0,0.048077,0.332207,0.74355,0.902131,0.425031
4,13:34:46,0.933333,0.137553,0.334692,0.746584,0.903504,0.429808
5,13:35:45,0.916667,0.211046,0.332886,0.726528,0.904031,0.426629
6,13:36:44,0.966667,0.091823,0.335532,0.723531,0.906881,0.436052
7,13:37:43,0.95,0.126559,0.339775,0.72289,0.908687,0.448424
8,13:38:41,0.983333,0.067401,0.342407,0.719503,0.9127,0.453389
9,13:39:40,1.0,0.069642,0.344846,0.72658,0.915016,0.46518
10,13:40:39,0.933333,0.137112,0.34796,0.737517,0.918713,0.47976
11,13:41:38,1.0,0.047108,0.350908,0.744469,0.92455,0.49009
12,13:42:37,0.983333,0.041482,0.35299,0.749596,0.927705,0.496204
13,13:43:36,1.0,0.01963,0.354155,0.750428,0.929776,0.49954
14,13:44:37,0.966667,0.062421,0.355948,0.754299,0.932444,0.503921
15,13:45:35,0.983333,0.064158,0.357613,0.757159,0.933929,0.508224
16,13:46:34,0.983333,0.057022,0.358873,0.757676,0.935138,0.511202
17,13:47:33,0.983333,0.052292,0.360208,0.760943,0.939088,0.514707
18,13:48:32,0.966667,0.056289,0.36155,0.764851,0.942168,0.518888
19,13:49:31,1.0,0.013726,0.363684,0.768744,0.944935,0.52414
20,13:50:30,1.0,0.034302,0.365145,0.774302,0.946424,0.52966
