round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,10:25:58,0.766667,0.784061,0.28866,0.291142,0.5427,0.409748
2,10:26:43,0.983333,0.095978,0.291775,0.295218,0.557564,0.427205
3,10:27:33,1.0,0.048242,0.294914,0.304233,0.567695,0.438516
4,10:28:23,1.0,0.031063,0.296652,0.309996,0.573844,0.446696
5,10:29:12,1.0,0.020206,0.297717,0.314496,0.578395,0.452812
6,10:34:10,0.833333,0.620936,0.291656,0.300631,0.559932,0.445675
7,10:35:00,0.9,0.262829,0.291647,0.291723,0.558179,0.449365
8,10:35:50,0.75,0.733788,0.291835,0.288771,0.565912,0.447028
9,10:36:40,0.85,0.379978,0.292419,0.290232,0.570937,0.447853
10,10:37:30,0.866667,0.204281,0.294307,0.288808,0.571073,0.450762
11,10:38:20,0.966667,0.097234,0.296689,0.290899,0.573165,0.453295
12,10:39:10,0.883333,0.192207,0.298856,0.293894,0.576798,0.456547
13,10:40:00,0.85,0.275077,0.298229,0.29303,0.579614,0.455841
14,10:40:50,0.883333,0.28154,0.298664,0.293943,0.581967,0.461149
15,10:41:40,0.833333,0.285894,0.299344,0.293101,0.582428,0.465037
16,10:42:30,0.95,0.110643,0.301561,0.294291,0.583836,0.470031
17,10:43:20,0.933333,0.167332,0.300485,0.292606,0.583012,0.463189
18,10:44:10,0.983333,0.141058,0.302085,0.294584,0.584392,0.466904
19,10:45:00,1.0,0.03993,0.304154,0.298982,0.58676,0.474241
20,10:45:50,0.933333,0.155369,0.303437,0.306238,0.586917,0.480253
