round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,17:49:44,0.8,0.558471,0.288657,0.292287,0.54239,0.40808
2,17:50:37,0.966667,0.140777,0.293921,0.29609,0.557061,0.426495
3,17:51:37,1.0,0.039211,0.297037,0.305357,0.564498,0.439899
4,17:52:36,1.0,0.024904,0.298946,0.310883,0.56961,0.447431
5,17:53:42,0.983333,0.135768,0.29839,0.312233,0.566731,0.452656
6,17:54:40,0.8,0.492693,0.290895,0.300878,0.547329,0.43987
7,17:55:40,0.883333,0.287913,0.289294,0.300174,0.536179,0.436275
8,17:56:41,0.9,0.256608,0.288525,0.300721,0.532105,0.438657
9,17:57:40,0.85,0.295224,0.288402,0.296943,0.529922,0.443754
10,17:58:40,0.866667,0.353417,0.289333,0.29048,0.530424,0.450428
11,17:59:39,0.833333,0.335582,0.2902,0.286114,0.531261,0.45597
12,18:00:38,0.866667,0.269349,0.289665,0.285368,0.525181,0.459408
13,18:01:38,0.966667,0.116645,0.290641,0.277249,0.52477,0.463548
14,18:02:37,0.95,0.206365,0.290886,0.275282,0.525133,0.468658
15,18:03:36,0.966667,0.134026,0.290639,0.277926,0.524851,0.471884
16,18:04:35,0.933333,0.176438,0.291462,0.280342,0.52639,0.475408
17,18:05:34,0.8,0.413783,0.291955,0.276617,0.53046,0.475422
18,18:06:33,0.95,0.180033,0.291353,0.27255,0.531704,0.47425
19,18:07:33,0.933333,0.196686,0.290369,0.272433,0.534747,0.472232
20,18:08:32,0.933333,0.178108,0.290633,0.265012,0.532505,0.474873
