round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,16:59:29,0.8,0.684,0.28629,0.290266,0.541345,0.412711
2,17:00:23,0.933333,0.247279,0.289536,0.293433,0.557537,0.429422
3,17:01:23,0.95,0.130688,0.293168,0.300483,0.56784,0.438865
4,17:02:22,1.0,0.05397,0.295303,0.306371,0.574009,0.447043
5,17:03:22,1.0,0.022362,0.296721,0.311771,0.578663,0.453427
6,17:04:27,0.983333,0.071513,0.298001,0.314492,0.582236,0.455349
7,17:05:25,0.916667,0.213857,0.294084,0.306426,0.571334,0.449697
8,17:06:24,0.916667,0.150267,0.294375,0.306382,0.567739,0.451358
9,17:07:23,0.933333,0.155353,0.295022,0.306937,0.568522,0.453153
10,17:08:22,0.916667,0.140416,0.295015,0.305937,0.56766,0.457052
11,17:09:22,0.983333,0.097937,0.295105,0.305004,0.56889,0.456252
12,17:10:21,1.0,0.023597,0.295524,0.307822,0.569186,0.457594
13,17:11:19,0.95,0.115079,0.296335,0.312209,0.571624,0.459997
14,17:12:19,1.0,0.02345,0.297015,0.312109,0.573624,0.463054
15,17:13:18,0.95,0.113255,0.298014,0.316229,0.575716,0.465515
16,17:14:18,0.983333,0.075394,0.299196,0.318813,0.576541,0.467661
17,17:15:19,0.966667,0.119421,0.299876,0.311598,0.578793,0.464925
18,17:16:18,0.966667,0.104582,0.299973,0.308976,0.582522,0.46911
19,17:17:19,0.95,0.113864,0.300805,0.310299,0.585905,0.474246
20,17:18:19,0.966667,0.151863,0.301179,0.310335,0.587734,0.482371
