round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,12:37:51,0.683333,0.837695,0.287123,0.291243,0.540225,0.409909
2,12:38:44,0.933333,0.210773,0.289251,0.296188,0.55553,0.427194
3,12:39:42,1.0,0.050908,0.292685,0.306396,0.563667,0.44218
4,12:40:41,1.0,0.01315,0.295169,0.311052,0.569655,0.45243
5,12:41:39,1.0,0.014095,0.296693,0.314772,0.573637,0.457555
6,12:46:04,0.85,0.462281,0.287375,0.302699,0.546095,0.446984
7,12:47:02,0.816667,0.447032,0.285598,0.295835,0.549469,0.44355
8,12:48:01,0.816667,0.566732,0.284335,0.290484,0.543089,0.447702
9,12:49:00,0.933333,0.232826,0.282589,0.287777,0.537596,0.451237
10,12:49:58,0.85,0.402367,0.281958,0.281393,0.534846,0.45913
11,12:50:57,0.933333,0.166896,0.282786,0.280361,0.531068,0.465516
12,12:51:55,0.95,0.176159,0.284749,0.282358,0.5284,0.471413
13,12:52:54,0.95,0.133977,0.286232,0.285116,0.528841,0.478244
14,12:53:53,0.866667,0.287945,0.287627,0.284829,0.52898,0.484853
15,12:54:51,0.9,0.21656,0.287402,0.280793,0.528502,0.489217
16,12:55:50,0.85,0.325548,0.285377,0.271333,0.526575,0.489102
17,12:57:39,0.866667,0.226435,0.28834,0.270179,0.532223,0.497372
18,12:58:39,0.85,0.302748,0.290147,0.270841,0.531163,0.506408
19,12:59:38,0.85,0.242026,0.290673,0.268207,0.532375,0.513745
20,13:00:36,0.866667,0.259398,0.291232,0.267449,0.534202,0.520006
21,13:01:35,0.916667,0.208888,0.291071,0.261866,0.537965,0.522867
22,13:02:33,0.9,0.157909,0.292087,0.267329,0.53766,0.534064
23,13:03:31,0.9,0.21174,0.292763,0.268889,0.537717,0.53629
24,13:04:32,0.933333,0.156201,0.293845,0.267186,0.54092,0.540025
25,13:05:31,1.0,0.07467,0.293829,0.268087,0.541413,0.541094
26,13:06:31,0.933333,0.150842,0.295008,0.266429,0.545286,0.546881
27,13:07:30,0.9,0.182633,0.295717,0.267671,0.543644,0.549319
