round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,15:07:21,0.666667,0.864842,0.286679,0.290714,0.538752,0.409988
2,15:08:15,0.933333,0.157192,0.291812,0.295956,0.553318,0.429886
3,15:09:13,1.0,0.048108,0.296305,0.306218,0.562694,0.441192
4,15:10:13,0.983333,0.112293,0.298628,0.311596,0.568524,0.448226
5,15:11:12,0.983333,0.050266,0.29966,0.316776,0.571994,0.453153
6,15:13:33,0.933333,0.259205,0.296459,0.31393,0.564025,0.453211
7,15:14:34,0.95,0.099225,0.294824,0.310327,0.563634,0.457041
8,15:15:33,0.933333,0.23476,0.292602,0.307317,0.553454,0.458644
9,15:16:34,0.916667,0.2334,0.292595,0.30777,0.557593,0.46035
10,15:17:34,0.95,0.122719,0.293919,0.309819,0.561969,0.463633
11,15:18:37,1.0,0.054139,0.29484,0.311823,0.561985,0.467859
12,15:19:36,0.916667,0.198009,0.295724,0.310183,0.565468,0.467967
13,15:20:34,0.95,0.094147,0.296587,0.310895,0.567884,0.469423
14,15:21:33,0.933333,0.106184,0.2967,0.309104,0.568564,0.472239
15,15:22:33,0.933333,0.181214,0.296536,0.30998,0.567724,0.473163
16,15:23:32,0.933333,0.228008,0.296944,0.309712,0.567364,0.474633
17,15:24:30,0.983333,0.058851,0.296974,0.30796,0.566299,0.471389
18,15:25:29,0.9,0.168915,0.297886,0.308828,0.566421,0.470042
19,15:26:29,1.0,0.047993,0.298257,0.311042,0.567103,0.470507
20,15:27:27,0.983333,0.037074,0.299572,0.313864,0.569173,0.47282
