round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,18:40:42,0.75,0.906604,0.288574,0.291733,0.540995,0.41006
2,18:41:35,0.95,0.158162,0.292321,0.295371,0.554168,0.42658
3,18:42:37,0.983333,0.062502,0.29583,0.306252,0.5637,0.43717
4,18:43:36,1.0,0.022675,0.298063,0.312403,0.570028,0.446557
5,18:44:44,1.0,0.012399,0.299368,0.317495,0.574334,0.451123
6,18:45:43,0.9,0.242563,0.29642,0.313124,0.559022,0.449948
7,18:46:42,0.95,0.183978,0.295405,0.309577,0.549455,0.452527
8,18:47:41,0.9,0.254117,0.294932,0.306162,0.549052,0.454881
9,18:48:40,0.966667,0.118733,0.294275,0.304943,0.538166,0.457676
10,18:49:39,0.966667,0.122137,0.294311,0.310791,0.536597,0.463012
11,18:50:37,0.9,0.238231,0.294509,0.307337,0.53893,0.466877
12,18:51:36,0.933333,0.184959,0.294214,0.308257,0.539052,0.46931
13,18:52:36,0.883333,0.174798,0.293959,0.302752,0.540146,0.468068
14,18:53:35,0.95,0.115257,0.294708,0.304459,0.541055,0.471781
15,18:54:34,0.916667,0.150432,0.295674,0.308001,0.54125,0.475642
16,18:55:32,0.916667,0.15957,0.296278,0.309255,0.542298,0.478637
17,18:56:31,0.916667,0.141149,0.296808,0.30814,0.544766,0.483352
18,18:57:29,0.933333,0.14123,0.296781,0.310816,0.544545,0.489276
19,18:58:30,0.866667,0.231651,0.296781,0.312989,0.543866,0.495593
20,18:59:29,0.933333,0.123043,0.296923,0.312076,0.546035,0.500903
