round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,20:01:16,0.85,0.560557,0.162133,0.386074,0.216792,0.231955,60
2,20:02:00,0.8,0.669905,0.169829,0.412845,0.225362,0.257279,60
3,20:02:50,0.733333,0.644758,0.178244,0.433173,0.268904,0.271364,60
4,20:03:40,0.883333,0.298305,0.187408,0.451888,0.308449,0.28859,60
5,20:04:30,0.7,0.640459,0.194237,0.450782,0.335817,0.290889,60
6,20:05:20,0.85,0.470842,0.203138,0.454424,0.365916,0.318226,60
7,20:06:10,0.85,0.31084,0.211774,0.473142,0.384319,0.348791,60
8,20:07:00,0.933333,0.270451,0.222279,0.490736,0.397742,0.379779,60
9,20:07:50,0.816667,0.377308,0.227153,0.496001,0.40938,0.397935,60
10,20:08:40,0.933333,0.189194,0.229296,0.513771,0.413096,0.420566,60
11,20:09:30,0.75,0.419586,0.232344,0.509631,0.408087,0.431414,60
12,20:10:20,0.916667,0.279916,0.233723,0.513636,0.405225,0.441554,60
13,20:11:10,0.866667,0.289501,0.237664,0.512566,0.409884,0.452229,60
14,20:13:40,0.916667,0.190453,0.241936,0.519043,0.425663,0.467733,60
15,20:14:30,0.9,0.221839,0.24566,0.526897,0.432429,0.479168,60
16,20:15:20,0.933333,0.195272,0.248774,0.522208,0.437109,0.476475,60
17,20:16:10,0.883333,0.249636,0.249091,0.528271,0.443264,0.481049,60
18,20:17:00,0.866667,0.301262,0.254025,0.538267,0.448906,0.490441,60
19,20:17:50,0.916667,0.171421,0.255681,0.547495,0.45132,0.499404,60
20,20:18:40,0.916667,0.148495,0.258988,0.54679,0.455027,0.506978,60
