timestamp,device_name,device_suffix,hostname,run_id,stage,fl_round,num_samples,accuracy,loss,fog_role,buffer_target,peer_count
2026-04-27 20:01:16,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,0,30,0.7333333492279053,0.6885637640953064,leader,30,
2026-04-27 20:01:17,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,0,60,0.8499999940395355,0.5605573058128357,leader,,2
2026-04-27 20:02:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,1,30,0.8999999761581421,0.5226702690124512,leader,30,
2026-04-27 20:02:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,1,60,0.7999999821186066,0.669905424118042,leader,,2
2026-04-27 20:02:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,2,30,0.8333333134651184,0.5019994378089905,leader,30,
2026-04-27 20:02:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,2,60,0.7333333194255829,0.6447579860687256,leader,,2
2026-04-27 20:03:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,3,30,0.9333333373069763,0.22308139503002167,leader,30,
2026-04-27 20:03:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,3,60,0.8833333253860474,0.29830531030893326,leader,,2
2026-04-27 20:04:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,4,30,0.6666666865348816,0.7126916646957397,leader,30,
2026-04-27 20:04:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,4,60,0.7000000178813934,0.6404588520526886,leader,,2
2026-04-27 20:05:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,5,30,0.8666666746139526,0.45155471563339233,leader,30,
2026-04-27 20:05:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,5,60,0.8499999940395355,0.4708421528339386,leader,,2
2026-04-27 20:06:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,6,30,0.8666666746139526,0.2990766167640686,leader,30,
2026-04-27 20:06:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,6,60,0.8499999940395355,0.31084005534648895,leader,,2
2026-04-27 20:07:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,7,30,0.8999999761581421,0.33106961846351624,leader,30,
2026-04-27 20:07:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,7,60,0.9333333075046539,0.27045146375894547,leader,,2
2026-04-27 20:07:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,8,30,0.8333333134651184,0.3903998136520386,leader,30,
2026-04-27 20:07:50,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,8,60,0.8166666626930237,0.3773082047700882,leader,,2
2026-04-27 20:08:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,9,30,0.8999999761581421,0.2860449254512787,leader,30,
2026-04-27 20:08:40,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,9,60,0.9333333075046539,0.18919391185045242,leader,,2
2026-04-27 20:09:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,10,30,0.9666666388511658,0.22340744733810425,leader,30,
2026-04-27 20:09:30,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,10,60,0.75,0.4195860028266907,leader,,2
2026-04-27 20:10:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,11,30,0.8999999761581421,0.29487356543540955,leader,30,
2026-04-27 20:10:20,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,11,60,0.9166666567325592,0.27991601824760437,leader,,2
2026-04-27 20:11:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,12,30,0.8999999761581421,0.264638751745224,leader,30,
2026-04-27 20:11:10,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,fog_fedavg,12,60,0.8666666448116302,0.2895011156797409,leader,,2
2026-04-27 20:12:00,gateway,gateway_fog_leader,raspberrypi,CNN_fog_no_ascon_1,local_train,13,30,0.7333333492279053,0.5985613465309143,leader,30,
