round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,18:06:56,1.0,0.335318,0.18181,0.176702,0.374074,0.195656,60
2,18:07:49,1.0,0.243989,0.198929,0.220723,0.442523,0.265698,60
3,18:08:53,0.983333,0.105656,0.217777,0.278238,0.486137,0.331139,60
4,18:09:51,0.833333,0.483682,0.215437,0.272886,0.49692,0.331684,60
5,18:10:50,0.733333,0.67002,0.213853,0.254287,0.500141,0.298368,60
6,18:11:49,0.9,0.374191,0.222211,0.260885,0.548562,0.311213,60
7,18:12:48,0.933333,0.270059,0.235056,0.279128,0.593792,0.338527,60
8,18:13:47,0.933333,0.224632,0.24237,0.287364,0.623214,0.35438,60
9,18:14:45,0.833333,0.461774,0.247271,0.282684,0.638806,0.351121,60
10,18:15:44,0.916667,0.297539,0.257072,0.296704,0.658183,0.366685,60
11,18:16:42,0.933333,0.140273,0.269887,0.320669,0.681653,0.392258,60
12,18:17:41,0.95,0.245804,0.280652,0.338806,0.699937,0.410103,60
13,18:18:40,0.9,0.225899,0.287898,0.346575,0.711684,0.414186,60
14,18:19:38,0.983333,0.094782,0.296862,0.345573,0.707857,0.435242,60
15,18:20:37,0.95,0.117661,0.296585,0.349326,0.710559,0.437531,60
16,18:21:35,0.9,0.223285,0.301913,0.356431,0.715372,0.447659,60
17,18:22:34,0.966667,0.119751,0.30936,0.367403,0.723991,0.461537,60
18,18:23:32,0.966667,0.148781,0.316001,0.379603,0.735418,0.476462,60
19,18:24:31,0.933333,0.152997,0.32129,0.387593,0.743735,0.485981,60
20,18:25:36,0.95,0.140719,0.324974,0.39446,0.750759,0.49567,60
