round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:31:07,0.75,0.794337,0.286624,0.291376,0.540607,0.409397
2,13:32:00,1.0,0.093062,0.289352,0.295928,0.554408,0.425073
3,13:33:01,0.966667,0.076524,0.292215,0.305762,0.564005,0.441219
4,13:34:00,0.983333,0.029888,0.295065,0.312595,0.568785,0.451966
5,13:34:59,1.0,0.015347,0.296527,0.316948,0.571661,0.457559
6,13:39:02,0.85,0.458896,0.287889,0.312742,0.545828,0.452445
7,13:40:01,0.85,0.413023,0.285287,0.306858,0.546389,0.440083
8,13:41:00,0.9,0.263188,0.284624,0.298128,0.542793,0.439427
9,13:41:59,0.85,0.274526,0.286809,0.290664,0.544432,0.450523
10,13:42:58,0.866667,0.305087,0.28823,0.289701,0.546012,0.455912
11,13:43:57,0.866667,0.314123,0.288469,0.291933,0.543137,0.456975
12,13:44:56,0.916667,0.28475,0.288143,0.291471,0.54332,0.457007
13,13:45:55,0.866667,0.338932,0.28632,0.287843,0.542472,0.452857
14,13:46:54,0.883333,0.210639,0.286179,0.281587,0.541347,0.458013
15,13:47:53,0.833333,0.305248,0.286976,0.280347,0.543249,0.46311
16,13:48:52,0.866667,0.284815,0.285433,0.278381,0.534739,0.470697
17,13:49:51,0.933333,0.237325,0.285825,0.279126,0.535192,0.477389
18,13:50:49,0.883333,0.242934,0.286735,0.273063,0.539371,0.481652
19,13:51:48,0.866667,0.313103,0.288173,0.264862,0.539603,0.484128
20,13:52:47,0.816667,0.286049,0.289775,0.260785,0.541546,0.486548
21,13:53:47,0.9,0.183971,0.291188,0.261765,0.542794,0.492789
22,13:54:46,0.883333,0.233325,0.292073,0.265748,0.541024,0.501445
23,13:55:45,0.9,0.164653,0.29256,0.265108,0.538916,0.510416
24,13:56:43,0.883333,0.25946,0.293046,0.266632,0.539475,0.517994
25,13:57:43,0.933333,0.152145,0.292188,0.26395,0.539036,0.515111
26,13:58:41,0.983333,0.129977,0.293986,0.261794,0.54041,0.521326
27,13:59:40,0.95,0.169296,0.29598,0.265675,0.543034,0.530928
28,14:00:40,0.95,0.124062,0.294557,0.266526,0.542898,0.528572
29,14:01:38,0.916667,0.198217,0.293142,0.267079,0.540971,0.526204
30,14:02:39,0.916667,0.214765,0.2931,0.267029,0.541232,0.52372
