round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,12:50:50,0.8,0.637757,0.287922,0.292552,0.541662,0.411649
2,12:51:34,0.933333,0.26072,0.290646,0.295424,0.556285,0.429607
3,12:52:24,0.983333,0.101466,0.293771,0.304563,0.56618,0.441655
4,12:53:14,1.0,0.017869,0.296058,0.310445,0.573161,0.450868
5,12:54:11,0.983333,0.03151,0.297398,0.314066,0.577906,0.455993
6,12:55:01,0.916667,0.297425,0.292883,0.30694,0.570252,0.44862
7,12:55:51,0.966667,0.108739,0.290382,0.305917,0.558704,0.445627
8,12:56:42,0.95,0.129467,0.290301,0.309646,0.561889,0.44931
9,12:57:31,0.966667,0.170491,0.291124,0.308415,0.554495,0.45506
10,12:58:21,0.916667,0.298912,0.291026,0.301152,0.55696,0.455685
11,12:59:12,0.966667,0.096292,0.291671,0.299595,0.557968,0.460098
12,13:00:01,0.966667,0.083612,0.293535,0.303635,0.558013,0.465273
13,13:00:51,0.95,0.145308,0.293672,0.304597,0.561182,0.470538
14,13:01:41,0.933333,0.155222,0.293451,0.300691,0.562129,0.473785
15,13:02:31,0.95,0.213786,0.294151,0.301847,0.560787,0.476815
16,13:03:21,0.966667,0.114939,0.294228,0.299936,0.561963,0.478472
17,13:04:11,0.966667,0.121625,0.294799,0.299364,0.565732,0.484787
18,13:05:01,0.916667,0.134133,0.296157,0.302244,0.567032,0.490064
19,13:05:51,0.95,0.104689,0.297412,0.302628,0.569881,0.495209
20,13:06:41,0.966667,0.058061,0.298212,0.303239,0.573932,0.499914
