round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,16:49:13,1.0,0.269986,0.182676,0.29478,0.370276,0.231049,60
2,16:50:07,1.0,0.078949,0.209099,0.358788,0.456356,0.283414,60
3,16:51:11,1.0,0.014089,0.226417,0.416699,0.504621,0.333023,60
4,16:52:09,0.933333,0.105478,0.228195,0.407945,0.484616,0.365719,60
5,16:53:07,0.9,0.213647,0.227657,0.391297,0.481353,0.367117,60
6,16:54:06,0.933333,0.153371,0.230899,0.391114,0.493495,0.376323,60
7,16:55:06,0.883333,0.222659,0.237394,0.392253,0.51019,0.379451,60
8,16:56:04,0.916667,0.164992,0.242195,0.399606,0.525122,0.388433,60
9,16:57:02,0.9,0.167079,0.2462,0.408112,0.538423,0.397546,60
10,16:58:01,0.883333,0.17487,0.249199,0.410004,0.5432,0.402151,60
11,16:58:59,0.866667,0.184899,0.252274,0.413907,0.551509,0.416866,60
12,16:59:58,0.85,0.240692,0.255502,0.415681,0.567642,0.441501,60
13,17:00:56,0.883333,0.182128,0.258679,0.415278,0.583637,0.466644,60
14,17:01:54,0.916667,0.137493,0.262229,0.409425,0.60376,0.49445,60
15,17:02:53,0.983333,0.049182,0.266206,0.424422,0.620933,0.517643,60
16,17:03:52,0.966667,0.058826,0.269405,0.437318,0.633091,0.534649,60
17,17:04:50,0.95,0.092705,0.272928,0.444329,0.642458,0.5472,60
18,17:05:49,0.966667,0.059955,0.276903,0.452526,0.653277,0.563461,60
19,17:06:47,1.0,0.071495,0.280506,0.45129,0.655818,0.574859,60
20,17:07:46,1.0,0.071088,0.283422,0.456059,0.667301,0.592045,60
