round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:09:19,0.966667,0.519715,0.31864,0.664675,0.886637,0.419672
2,13:10:12,1.0,0.158193,0.326235,0.713058,0.898771,0.409879
3,13:11:16,1.0,0.035118,0.332728,0.74475,0.906291,0.428584
4,13:12:14,0.8,0.706719,0.326172,0.705695,0.905251,0.414545
5,13:13:14,0.866667,0.333385,0.325911,0.688006,0.909175,0.418165
6,13:14:13,0.866667,0.39406,0.330576,0.677277,0.919994,0.424984
7,13:15:12,0.9,0.335682,0.339703,0.677248,0.931611,0.446756
8,13:16:11,0.983333,0.126509,0.346489,0.696023,0.939345,0.462382
9,13:17:10,0.966667,0.089279,0.352194,0.706285,0.950549,0.468032
10,13:18:09,0.983333,0.077219,0.355589,0.714636,0.954358,0.476871
11,13:19:08,0.983333,0.070275,0.358822,0.718291,0.954672,0.488719
12,13:20:06,1.0,0.047353,0.362972,0.72444,0.954211,0.505094
13,13:21:05,0.933333,0.158672,0.36487,0.730573,0.954604,0.509951
14,13:22:03,0.933333,0.144061,0.365764,0.731111,0.958345,0.509263
15,13:23:01,0.983333,0.105892,0.368374,0.727118,0.959779,0.519978
16,13:23:59,1.0,0.045777,0.370117,0.735245,0.963997,0.522231
17,13:24:59,0.983333,0.077754,0.37051,0.740117,0.967253,0.519445
18,13:25:58,0.95,0.127046,0.371972,0.741558,0.97125,0.523806
19,13:26:56,0.966667,0.055178,0.373708,0.745385,0.974833,0.530169
20,13:27:55,0.95,0.12126,0.375419,0.750728,0.976693,0.536459
