round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,17:24:02,0.783333,0.801066,0.287752,0.29142,0.543978,0.409817
2,17:24:56,0.966667,0.132952,0.290409,0.29573,0.561473,0.42355
3,17:25:56,1.0,0.047946,0.294311,0.306617,0.57031,0.43712
4,17:26:55,1.0,0.028006,0.29658,0.312339,0.575282,0.445176
5,17:27:58,1.0,0.012422,0.298398,0.316205,0.580295,0.450795
6,17:28:57,0.883333,0.375871,0.292446,0.31075,0.563132,0.445566
7,17:29:56,0.983333,0.093956,0.291059,0.31255,0.5598,0.447362
8,17:30:55,0.95,0.10189,0.290891,0.318526,0.561403,0.448508
9,17:31:54,0.95,0.141639,0.292237,0.321099,0.563408,0.451129
10,17:32:59,0.916667,0.243116,0.293418,0.317993,0.566637,0.449459
11,17:33:59,0.933333,0.153539,0.293342,0.315386,0.567262,0.449883
12,17:35:00,0.966667,0.114245,0.293876,0.315533,0.568778,0.452352
13,17:36:01,0.9,0.167055,0.294627,0.317603,0.570153,0.456091
14,17:37:03,0.983333,0.062423,0.294816,0.318314,0.564176,0.458749
15,17:38:02,0.966667,0.094135,0.295274,0.320315,0.563621,0.461755
16,17:39:01,0.983333,0.052529,0.29577,0.324809,0.564961,0.465382
17,17:39:59,1.0,0.013581,0.297151,0.328204,0.567134,0.47023
18,17:40:58,0.933333,0.123744,0.298412,0.329765,0.567874,0.473574
19,17:41:57,0.966667,0.107467,0.298662,0.323869,0.570641,0.471167
20,17:42:56,0.95,0.151913,0.299321,0.324661,0.574506,0.473727
