round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,16:32:32,0.75,1.017591,0.288975,0.292089,0.539953,0.408072
2,16:33:51,0.95,0.135244,0.294394,0.299267,0.553973,0.429585
3,16:34:51,1.0,0.034946,0.297125,0.30913,0.564437,0.444992
4,16:35:50,1.0,0.024912,0.29938,0.314236,0.570751,0.453172
5,16:36:53,1.0,0.010663,0.301085,0.319368,0.575259,0.458191
6,16:37:57,0.916667,0.296874,0.297118,0.311699,0.559067,0.456221
7,16:38:57,0.95,0.213609,0.295566,0.30442,0.544879,0.461342
8,16:39:58,0.983333,0.061959,0.295455,0.298781,0.549632,0.464278
9,16:40:58,0.916667,0.178716,0.295991,0.297613,0.554128,0.468341
10,16:41:56,0.983333,0.133821,0.295976,0.301686,0.559887,0.469398
11,16:42:55,0.916667,0.227894,0.296107,0.298294,0.558136,0.470819
12,16:43:54,0.983333,0.055132,0.296649,0.297872,0.558439,0.474033
13,16:44:52,0.966667,0.069748,0.296958,0.297149,0.55682,0.477262
14,16:45:51,0.983333,0.059501,0.297781,0.301204,0.558331,0.480207
15,16:46:50,0.966667,0.112095,0.29799,0.301554,0.5578,0.482173
16,16:47:49,0.966667,0.131776,0.298682,0.302882,0.560203,0.484392
17,16:48:48,0.95,0.176198,0.299182,0.302384,0.562997,0.484466
18,16:49:47,0.983333,0.07476,0.299573,0.298887,0.566557,0.485301
19,16:50:46,0.966667,0.18198,0.299438,0.293202,0.570417,0.485618
20,16:51:44,0.916667,0.237888,0.298845,0.290659,0.572738,0.479677
