round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,13:34:05,0.75,1.005226,0.286886,0.290345,0.542376,0.411202
2,13:34:48,0.95,0.224033,0.289857,0.294142,0.555073,0.427503
3,13:35:39,0.966667,0.066936,0.292726,0.304734,0.560006,0.438872
4,13:36:29,1.0,0.02965,0.295311,0.310625,0.564478,0.449901
5,13:37:26,1.0,0.010939,0.29698,0.314004,0.569889,0.456943
6,13:38:16,0.9,0.316661,0.293245,0.309117,0.560726,0.454066
7,13:39:06,0.9,0.18663,0.291457,0.307119,0.553232,0.45348
8,13:39:56,0.95,0.101156,0.291658,0.306814,0.547017,0.456493
9,13:40:46,0.916667,0.243437,0.291124,0.304328,0.54722,0.459718
10,13:41:36,0.9,0.235318,0.28963,0.29444,0.552832,0.457735
11,13:42:26,0.983333,0.081606,0.289303,0.291512,0.547448,0.45993
12,13:43:16,0.966667,0.101737,0.289947,0.296091,0.547735,0.460946
13,13:44:06,0.95,0.099598,0.291185,0.299349,0.552176,0.463972
14,13:44:56,0.983333,0.050393,0.291813,0.301965,0.554363,0.467181
15,13:45:46,0.966667,0.22706,0.292088,0.303379,0.553732,0.472268
16,13:46:36,0.983333,0.042377,0.292798,0.304614,0.552187,0.476154
17,13:47:26,0.983333,0.044888,0.293663,0.309174,0.552931,0.478674
18,13:48:16,0.983333,0.034245,0.294373,0.312901,0.553057,0.481314
19,13:49:06,0.95,0.096926,0.295031,0.316427,0.553512,0.483779
20,13:49:56,0.966667,0.143433,0.29498,0.318243,0.552948,0.485647
