round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,16:01:17,0.766667,0.775224,0.197607,0.290278,0.271831,0.21532,60
2,16:02:11,0.75,0.776284,0.205017,0.31127,0.299017,0.228365,60
3,16:03:09,0.8,0.551996,0.216204,0.337835,0.352154,0.246435,60
4,16:04:08,0.85,0.344656,0.230979,0.372701,0.416508,0.266264,60
5,16:05:06,0.85,0.412659,0.244138,0.393958,0.460278,0.28446,60
6,16:06:04,0.9,0.246133,0.253825,0.422157,0.488789,0.307346,60
7,16:07:03,0.9,0.297541,0.263092,0.436345,0.509326,0.328259,60
8,16:08:01,0.916667,0.211839,0.271911,0.465261,0.532962,0.346011,60
9,16:09:00,0.95,0.153268,0.278631,0.48131,0.546339,0.362631,60
10,16:09:58,0.883333,0.288559,0.282306,0.488932,0.556957,0.376625,60
11,16:10:56,0.883333,0.237062,0.28569,0.491885,0.561786,0.389839,60
12,16:11:55,0.966667,0.118967,0.291919,0.506046,0.566642,0.410426,60
13,16:12:54,0.95,0.135209,0.298007,0.515299,0.574723,0.427512,60
14,16:13:53,0.983333,0.143291,0.300882,0.52639,0.583434,0.437109,60
15,16:14:51,0.783333,0.451678,0.303411,0.528383,0.582882,0.443858,60
16,16:15:51,0.9,0.195909,0.305685,0.539339,0.588749,0.451841,60
17,16:16:50,0.933333,0.175158,0.310786,0.55281,0.597715,0.46413,60
18,16:17:48,0.933333,0.153363,0.315483,0.555505,0.602919,0.468222,60
19,16:18:46,0.916667,0.134416,0.320101,0.56535,0.606949,0.477478,60
20,16:19:45,0.95,0.150578,0.321553,0.572913,0.610568,0.48373,60
