round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,14:59:51,0.716667,0.596609,0.322573,0.630971,0.870132,0.458768
2,15:00:44,0.75,0.554596,0.330153,0.629665,0.889629,0.453581
3,15:01:42,0.816667,0.41064,0.336618,0.62936,0.906052,0.456269
4,15:02:41,0.916667,0.306469,0.341817,0.63958,0.918236,0.472971
5,15:03:40,0.866667,0.32952,0.346921,0.652489,0.930172,0.472473
6,15:04:38,0.733333,0.451074,0.349901,0.639871,0.940863,0.479181
7,15:05:36,0.833333,0.308003,0.351852,0.640477,0.946314,0.476391
8,15:06:35,0.883333,0.315552,0.354071,0.634382,0.947884,0.482371
9,15:07:33,0.883333,0.301356,0.356173,0.63226,0.949454,0.490834
10,15:08:32,0.8,0.447084,0.357419,0.637323,0.949305,0.499241
11,15:09:32,0.95,0.21605,0.357937,0.644913,0.952617,0.496242
12,15:10:31,0.866667,0.262349,0.359664,0.642965,0.956793,0.5031
13,15:11:29,0.933333,0.130251,0.362606,0.652313,0.96198,0.505272
14,15:12:27,1.0,0.05204,0.365717,0.659942,0.96738,0.515624
15,15:13:26,0.866667,0.279331,0.367548,0.664663,0.972553,0.518613
16,15:14:25,0.95,0.152457,0.368407,0.662353,0.974283,0.522673
17,15:15:23,0.966667,0.141447,0.368744,0.656134,0.977534,0.53065
18,15:16:22,0.9,0.226095,0.369151,0.65747,0.980668,0.521745
19,15:17:24,0.933333,0.18083,0.36973,0.655454,0.983633,0.524204
20,15:18:23,0.933333,0.147536,0.37003,0.653024,0.985898,0.526369
