round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,14:41:35,0.716667,0.856503,0.287108,0.291615,0.541633,0.412225
2,14:42:19,0.966667,0.189836,0.290418,0.299121,0.555959,0.430614
3,14:43:08,1.0,0.02682,0.293482,0.308311,0.563706,0.44085
4,14:43:59,1.0,0.029572,0.296157,0.31272,0.570196,0.448355
5,14:44:56,1.0,0.014622,0.298501,0.317822,0.575321,0.454274
6,14:45:48,0.816667,0.478735,0.292232,0.305383,0.55675,0.450419
7,14:46:38,0.783333,0.589437,0.288534,0.298216,0.547372,0.444281
8,14:47:29,0.833333,0.308173,0.287566,0.292691,0.542754,0.448207
9,14:48:18,0.783333,0.608375,0.288044,0.286011,0.542389,0.450856
10,14:49:08,0.866667,0.417698,0.287123,0.285487,0.532691,0.447592
11,14:49:58,0.9,0.334489,0.287732,0.286947,0.52578,0.451695
12,14:50:48,0.9,0.314113,0.289297,0.289874,0.527764,0.454847
13,14:51:38,0.916667,0.194686,0.290465,0.290374,0.530524,0.458524
14,14:52:28,0.916667,0.192636,0.29054,0.292615,0.532693,0.460128
15,14:53:18,0.916667,0.265742,0.291246,0.290094,0.53773,0.459408
16,14:54:08,0.933333,0.150242,0.291863,0.290392,0.540304,0.462907
17,14:54:58,0.9,0.251611,0.290863,0.288357,0.537454,0.462973
18,14:55:48,0.866667,0.24055,0.290973,0.286312,0.540164,0.459671
19,14:56:38,0.983333,0.120888,0.292515,0.283444,0.547137,0.462126
20,14:57:28,0.933333,0.140267,0.292335,0.281311,0.547073,0.461916
