round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,10:49:55,0.833333,0.560312,0.323036,0.655486,0.885777,0.443425
2,10:51:04,0.9,0.334868,0.330608,0.672303,0.905099,0.424545
3,10:52:02,0.95,0.236378,0.338052,0.691318,0.918644,0.416197
4,10:53:01,0.916667,0.244712,0.342273,0.693735,0.929754,0.426332
5,10:54:01,0.95,0.165856,0.347922,0.701439,0.937083,0.423559
6,10:55:02,0.933333,0.126774,0.350716,0.699481,0.942669,0.431526
7,10:56:01,0.95,0.141069,0.35388,0.708852,0.950128,0.434205
8,10:57:00,0.983333,0.072004,0.356936,0.718607,0.955539,0.440321
9,10:57:58,0.983333,0.062773,0.358717,0.719214,0.958735,0.446895
10,10:58:57,0.966667,0.096664,0.360534,0.722954,0.960365,0.450672
11,10:59:56,0.95,0.083759,0.361417,0.72593,0.959071,0.453064
12,11:00:55,0.983333,0.069683,0.3624,0.729784,0.957523,0.457789
13,11:01:54,0.916667,0.178444,0.363825,0.734413,0.956796,0.462505
14,11:02:53,0.966667,0.101387,0.364843,0.738168,0.958499,0.464186
15,11:03:52,1.0,0.046373,0.365336,0.74323,0.961053,0.46572
16,11:04:51,0.933333,0.211619,0.366083,0.746558,0.956803,0.468373
17,11:05:50,1.0,0.059405,0.366317,0.749186,0.955749,0.470824
18,11:06:49,0.966667,0.109322,0.367667,0.753403,0.959873,0.473195
19,11:07:47,0.933333,0.105516,0.366926,0.75185,0.960938,0.473567
20,11:08:46,0.983333,0.062082,0.36696,0.752097,0.961541,0.474651
