round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,15:03:41,0.716667,0.85109,0.28751,0.291082,0.538672,0.409911,60
2,15:04:25,0.933333,0.206252,0.289333,0.295621,0.551873,0.426745,60
3,15:05:15,1.0,0.035134,0.291688,0.305568,0.560125,0.440081,60
4,15:06:05,0.983333,0.106578,0.293277,0.311511,0.565154,0.448811,60
5,15:06:55,1.0,0.017691,0.29441,0.316429,0.569098,0.455064,60
6,15:14:52,0.766667,0.540867,0.288784,0.301429,0.549714,0.441989,60
7,15:15:42,0.95,0.142118,0.288997,0.29217,0.544372,0.447083,60
8,15:16:32,0.85,0.299811,0.290728,0.290895,0.550522,0.454619,60
9,15:17:22,0.8,0.473686,0.292087,0.290252,0.558715,0.459086,60
10,15:18:12,0.866667,0.295945,0.291622,0.287703,0.561788,0.459101,60
11,15:19:02,0.916667,0.163483,0.292156,0.289656,0.56273,0.458007,60
12,15:19:52,0.916667,0.193255,0.292602,0.28974,0.565833,0.460058,60
13,15:20:42,0.966667,0.084793,0.293976,0.290074,0.568407,0.46484,60
14,15:21:32,0.966667,0.139615,0.295297,0.294032,0.572434,0.465842,60
15,15:22:22,0.95,0.130975,0.295468,0.296135,0.574927,0.464858,60
16,15:23:12,0.95,0.147412,0.296173,0.297362,0.577711,0.46516,60
17,15:24:02,0.966667,0.083413,0.297352,0.297998,0.580653,0.467419,60
18,15:24:52,0.966667,0.059181,0.299285,0.300868,0.576591,0.470621,60
19,15:25:42,0.966667,0.230762,0.29847,0.298893,0.575799,0.470179,60
20,15:26:32,0.866667,0.32798,0.29828,0.298982,0.577617,0.470593,60
