timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,payload_bytes,elapsed_ms,fl_round,client_id,sample_label,sample_label_name,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,event_name,status,trace_id,stage,num_samples,accuracy,loss,buffer_target,round,time,w3_mag,w4_normal,w4_brute,w4_scan
10:25:02.726,0.8,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,119.0,0.068,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:02.726,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:02.889,0.8,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,115.0,0.063,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:02.889,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:02.938,1.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,116.0,0.066,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:02.938,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:05.107,3.2,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,117.0,0.066,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:05.107,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:05.955,4.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,120.0,0.155,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:05.955,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:07.029,4.9,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,117.0,0.115,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:07.029,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:07.201,5.1,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,114.0,0.084,0.0,esp32_edge_normal_2,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:07.201,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:07.374,5.3,gateway,gateway_A,raspberrypi,1.0,ESP32->RPi,deserialize,120.0,0.135,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_A_1.csv,gateway_transport,2026-04-19 10:25:07.374,transport.plain,1,gateway_A,gateway_A,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:07.939,6.0,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,120.0,0.144,0.0,esp32_edge_normal_1,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:07.939,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
10:25:10.126,8.2,gateway,gateway_B,gatewayB,1.0,ESP32->RPi,deserialize,116.0,0.147,0.0,esp32_edge_normal_3,0.0,normal,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon\Results\#16,plain_metrics_gateway_gateway_B_1.csv,gateway_transport,2026-04-19 10:25:10.126,transport.plain,1,gateway_B,gateway_B,transport.plain.gateway,reconstructed_from_csv,attempt:16:round:1,,,,,,,,,,,
