attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_payload_bytes,min_payload_bytes,max_payload_bytes
19,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3632.3,3612.0,3654.0
20,gateway_transport,gateway_A,ESP32->RPi,deserialize,616.0,0.11316883116883117,0.132,0.148,0.257,115.38798701298701,81.0,124.0
20,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.29764999999999997,0.2675,0.43865000000000026,0.812,3540.55,3523.0,3556.0
20,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.46579999999999994,0.4135,0.5973000000000004,1.154,3540.55,3523.0,3556.0
20,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.45439999999999997,0.4395,0.5584000000000001,0.68,3642.0,3624.0,3658.0
20,gateway_transport,gateway_B,ESP32->RPi,deserialize,623.0,0.10976886035313001,0.116,0.152,0.637,117.08186195826646,104.0,121.0
20,gateway_transport,gateway_B,PC->RPi,deserialize,20.0,0.28579999999999994,0.232,0.62935,0.636,3540.55,3523.0,3556.0
20,gateway_transport,gateway_B,RPi->ESP32,serialize,20.0,0.4747,0.385,0.96765,1.056,3540.55,3523.0,3556.0
20,gateway_transport,gateway_B,RPi->PC,serialize,20.0,0.487,0.473,0.60245,0.649,3634.9,3624.0,3652.0
20,server_transport,Asus,PC->RPi,serialize,20.0,0.20655,0.2075,0.2563500000000001,0.358,3540.55,3523.0,3556.0
20,server_transport,Asus,RPi->PC,deserialize,40.0,0.0,0.0,0.0,0.0,3638.45,3624.0,3658.0
21,gateway_transport,gateway_A,ESP32->RPi,deserialize,601.0,0.11472212978369384,0.134,0.175,0.237,115.33444259567388,81.0,124.0
21,gateway_transport,gateway_A,PC->RPi,deserialize,19.0,0.33552631578947373,0.325,0.44989999999999986,0.521,3532.0526315789475,3515.0,3541.0
21,gateway_transport,gateway_A,RPi->ESP32,serialize,19.0,0.4941578947368421,0.451,0.6984999999999999,0.721,3532.0526315789475,3515.0,3541.0
21,gateway_transport,gateway_A,RPi->PC,serialize,20.0,0.44855,0.438,0.4918,0.564,3635.45,3622.0,3652.0
21,gateway_transport,gateway_B,ESP32->RPi,deserialize,599.0,0.1370684474123539,0.147,0.1801,0.287,116.85976627712854,106.0,121.0
21,gateway_transport,gateway_B,PC->RPi,deserialize,19.0,0.5395263157894737,0.628,0.7363999999999999,0.749,3532.0526315789475,3515.0,3541.0
21,gateway_transport,gateway_B,RPi->ESP32,serialize,19.0,0.8706315789473685,1.035,1.1103,1.113,3532.0526315789475,3515.0,3541.0
21,gateway_transport,gateway_B,RPi->PC,serialize,19.0,0.470578947368421,0.474,0.5053,0.508,3625.9473684210525,3616.0,3636.0
21,server_transport,Asus,PC->RPi,serialize,19.0,0.18294736842105264,0.171,0.22949999999999984,0.297,3532.0526315789475,3515.0,3541.0
21,server_transport,Asus,RPi->PC,deserialize,39.0,0.0,0.0,0.0,0.0,3630.8205128205127,3616.0,3652.0
22,gateway_transport,gateway_A,ESP32->RPi,deserialize,602.0,0.11771262458471761,0.134,0.148,0.226,115.14784053156146,81.0,124.0
22,gateway_transport,gateway_A,PC->RPi,deserialize,20.0,0.26075,0.2435,0.35905,0.379,3537.05,3523.0,3550.0
22,gateway_transport,gateway_A,RPi->ESP32,serialize,20.0,0.4415,0.415,0.5682499999999999,0.592,3537.05,3523.0,3550.0
