attempt_id,device_suffix,rounds_seen,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_num_samples,avg_buffer_target
16,gateway_A,20.0,0.8316666632890701,0.14277993565963343,0.5,1.0,0.42918690079823135,0.37806866031388586,0.0248885508626699,1.443485975265503,30.0,30.0
16,gateway_B,20.0,0.9849999964237213,0.044064346121494256,0.800000011920929,1.0,0.06357778748497363,0.16090521208798467,0.0040885680355131,0.7540940642356873,30.0,30.0
17,gateway_A,30.0,0.9088888804117838,0.0793180806582991,0.7333333492279053,1.0,0.2323033498910566,0.16112324047650256,0.0123114855960011,0.5030373334884644,30.0,30.0
17,gateway_B,30.0,0.9077777743339539,0.06066503835693043,0.7666666507720947,1.0,0.2315649333720406,0.18675590688440186,0.023674564436078,1.026955485343933,30.0,30.0
18,gateway_A,20.0,0.9216666579246521,0.06260546589295223,0.800000011920929,1.0,0.2723347002174705,0.23539224820167653,0.0104713523760437,0.8253849148750305,30.0,30.0
18,gateway_B,20.0,0.9916666656732559,0.03632416219301599,0.8333333134651184,1.0,0.040832347108516784,0.10670406935122019,0.0032148242462426,0.4998680353164673,30.0,30.0
19,gateway_A,20.0,0.8999999940395356,0.0760116943967153,0.7666666507720947,1.0,0.25953061296604574,0.24254944166524783,0.0120322722941637,1.170776128768921,30.0,30.0
19,gateway_B,20.0,0.9833333313465118,0.05821416137198072,0.7333333492279053,1.0,0.05452774427831171,0.15296829296612213,0.0041766236536204,0.7158491015434265,30.0,30.0
20,gateway_A,20.0,0.909999993443489,0.058783980602292604,0.7666666507720947,1.0,0.2593868453986943,0.1789839320237647,0.0150787141174077,0.6847422122955322,30.0,30.0
20,gateway_B,20.0,0.9849999964237213,0.03869396083391543,0.8333333134651184,1.0,0.06881565059302372,0.14592392331656506,0.0034718348179012,0.5907720923423767,30.0,30.0
21,gateway_A,20.0,0.899999988079071,0.06146362766802768,0.7666666507720947,1.0,0.25269674956798555,0.183422867187701,0.0575680956244468,0.8896997570991516,30.0,30.0
21,gateway_B,19.0,0.9842105256883722,0.05959749779177478,0.7333333492279053,1.0,0.06351383401718184,0.18441780639233446,0.0033912153448909,0.839574933052063,30.0,30.0
22,gateway_A,20.0,0.9083333224058151,0.08019074050961023,0.699999988079071,1.0,0.2777142503298819,0.2811545968646029,0.0170036163181066,1.2560105323791504,30.0,30.0
22,gateway_B,20.0,0.986666664481163,0.04396968526236467,0.800000011920929,1.0,0.05651042492827396,0.16169007687597045,0.0020053451880812,0.7544409036636353,30.0,30.0
23,gateway_A,20.0,0.9016666680574417,0.06706133087239712,0.800000011920929,1.0,0.26571810874156654,0.16229122232569249,0.0102691603824496,0.7078773379325867,30.0,30.0
23,gateway_B,20.0,0.9133333265781403,0.09213516479710888,0.6333333253860474,1.0,0.24976679868996143,0.22580019591152561,0.0258976463228464,0.9727938175201416,30.0,30.0
24,gateway_A,20.0,0.889999994635582,0.09012337435436302,0.6333333253860474,1.0,0.2977291427087039,0.26408696594049896,0.0120640946552157,1.15012788772583,30.0,30.0
24,gateway_B,20.0,0.9033333271741867,0.07881059732980028,0.7333333492279053,1.0,0.2747703484259546,0.1830565448433082,0.0171797163784503,0.659580647945404,30.0,30.0
25,gateway_A,20.0,0.9066666632890701,0.08205688545871583,0.7333333492279053,1.0,0.25916654979810116,0.2393854364079328,0.0183517280966043,0.975787341594696,30.0,30.0
25,gateway_B,20.0,0.9049999922513962,0.06772083206723777,0.7666666507720947,1.0,0.2941664304584265,0.25175982130970925,0.0522254556417465,1.193205714225769,30.0,30.0
26,gateway_A,20.0,0.8983333230018615,0.06538348439620931,0.7666666507720947,1.0,0.30534706758335234,0.22030063791823773,0.0155278593301773,1.0310903787612915,30.0,30.0
26,gateway_B,20.0,0.9049999922513962,0.08251262119110894,0.699999988079071,1.0,0.25148771619424226,0.2004859115685366,0.0138847399502992,0.8721744418144226,30.0,30.0
27,gateway_A,20.0,0.9066666603088379,0.09404490493959189,0.699999988079071,1.0,0.21777066448703403,0.1735189296351884,0.0126074701547622,0.650012195110321,30.0,30.0
27,gateway_B,20.0,0.8799999922513961,0.09273618478356252,0.6333333253860474,1.0,0.26263854717835783,0.1666688149099061,0.0189312640577554,0.6103499531745911,30.0,30.0
28,gateway_A,20.0,0.8999999970197677,0.08366600004123216,0.6666666865348816,1.0,0.2649288414977491,0.19748901293304577,0.0106383357197046,0.8748396039009094,30.0,30.0
28,gateway_B,20.0,0.913333323597908,0.0812403816496649,0.6666666865348816,1.0,0.26242458177730443,0.19596335172205798,0.0235809925943613,0.7621608972549438,30.0,30.0
29,gateway_A,20.0,0.8683333337306977,0.1013656711942725,0.6000000238418579,1.0,0.3639687651768327,0.2890192812479617,0.041761290282011,1.3013054132461548,30.0,30.0
29,gateway_B,20.0,0.8716666579246521,0.11415145319025241,0.5666666626930237,1.0,0.3364658493548632,0.263794714356956,0.0655378550291061,0.9675589203834534,30.0,30.0
