attempt_id,rounds_observed,completion_rate,last_accuracy,last_loss,best_accuracy,min_loss,avg_round_duration_sec,p95_round_duration_sec,avg_weight_drift_total_abs
16,20.0,0.6666666666666666,0.933333,0.155369,1.0,0.020206,62.73684210526316,74.79999999999947,0.014938950000000006
17,30.0,1.0,0.866667,0.261434,1.0,0.017993,50.10344827586207,51.599999999999994,0.014587999999999995
18,20.0,0.6666666666666666,0.933333,0.089868,1.0,0.0196,50.10526315789474,52.199999999999996,0.013748200000000007
19,20.0,0.6666666666666666,0.933333,0.103459,1.0,0.012719,50.05263157894737,51.59999999999999,0.010497800000000005
20,20.0,0.6666666666666666,0.966667,0.058061,1.0,0.017869,50.05263157894737,51.59999999999999,0.014106499999999998
21,19.0,0.6333333333333333,0.966667,0.085369,1.0,0.037669,50.05555555555556,51.74999999999999,0.011904105263157888
22,20.0,0.6666666666666666,0.966667,0.143433,1.0,0.010939,50.05263157894737,51.59999999999999,0.012736750000000002
23,20.0,0.6666666666666666,0.883333,0.269965,1.0,0.021956,50.26315789473684,53.499999999999986,0.013655650000000005
24,20.0,0.6666666666666666,0.933333,0.140267,1.0,0.014622,50.1578947368421,52.499999999999986,0.0151944
25,20.0,0.6666666666666666,0.95,0.203323,0.983333,0.083719,50.31578947368421,52.79999999999998,0.011527449999999986
26,20.0,0.6666666666666666,0.933333,0.139039,1.0,0.01632,50.1578947368421,52.59999999999999,0.01495879999999999
27,20.0,0.6666666666666666,0.933333,0.147609,1.0,0.016891,50.1578947368421,54.099999999999994,0.016507099999999993
28,20.0,0.6666666666666666,0.883333,0.23971,1.0,0.023274,50.21052631578947,52.09999999999998,0.015662700000000012
29,20.0,0.6666666666666666,0.933333,0.176987,0.983333,0.10292,49.73684210526316,50.099999999999994,0.01047075000000001
