round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,14:02:10,0.65,1.036337,0.287186,0.290662,0.540861,0.408102,60
2,14:03:04,0.966667,0.133381,0.289557,0.295938,0.557337,0.422628,60
3,14:04:03,1.0,0.070304,0.293053,0.304038,0.569332,0.438034,60
4,14:05:02,1.0,0.012215,0.295288,0.309934,0.57664,0.447266,60
5,14:06:01,1.0,0.019583,0.296817,0.317626,0.583169,0.452443,60
6,14:18:53,0.816667,0.386419,0.291338,0.299799,0.5694,0.44173,60
7,14:19:52,0.95,0.154611,0.293012,0.291723,0.570637,0.445615,60
8,14:20:51,0.916667,0.203556,0.294914,0.288592,0.575429,0.450696,60
9,14:21:51,0.883333,0.253677,0.294464,0.284457,0.577819,0.450869,60
10,14:22:51,0.966667,0.092198,0.294852,0.286798,0.581479,0.449892,60
11,14:23:51,0.966667,0.105934,0.296492,0.288125,0.586592,0.449027,60
12,14:24:50,0.966667,0.085705,0.297955,0.288143,0.592138,0.447128,60
13,14:25:49,0.9,0.281046,0.299497,0.293492,0.597228,0.44716,60
14,14:26:48,0.95,0.15832,0.299317,0.293819,0.598041,0.448851,60
15,14:27:48,0.95,0.110159,0.299878,0.298244,0.600087,0.451663,60
16,14:28:47,0.983333,0.055771,0.299922,0.30102,0.600761,0.448276,60
17,14:29:47,0.95,0.138499,0.300403,0.299727,0.598535,0.447292,60
18,14:30:47,0.916667,0.180397,0.298325,0.294614,0.5847,0.445348,60
19,14:31:47,0.933333,0.332832,0.29848,0.294546,0.582769,0.450291,60
20,14:32:47,0.916667,0.137873,0.297645,0.30019,0.578722,0.454794,60
