round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,00:29:03,0.766667,0.627053,0.288849,0.291005,0.540362,0.410342,60
2,00:29:59,1.0,0.107861,0.293531,0.297168,0.554688,0.427162,60
3,00:30:58,1.0,0.037812,0.298353,0.306077,0.565808,0.441999,60
4,00:31:57,0.983333,0.034793,0.301168,0.312609,0.572062,0.448968,60
5,00:33:09,1.0,0.015812,0.303033,0.320266,0.57631,0.453949,60
6,00:34:08,0.866667,0.337418,0.296801,0.303541,0.565666,0.449237,60
7,00:35:07,0.916667,0.149756,0.295076,0.293798,0.567769,0.44798,60
8,00:36:06,0.933333,0.116295,0.295023,0.291104,0.570083,0.449617,60
9,00:37:05,0.9,0.201931,0.296207,0.292864,0.572124,0.449834,60
10,00:38:05,0.933333,0.104356,0.298052,0.295621,0.575593,0.452395,60
11,00:39:03,0.966667,0.157546,0.297443,0.299586,0.576663,0.452336,60
12,00:40:02,0.983333,0.088048,0.297482,0.299117,0.578555,0.453862,60
13,00:41:02,1.0,0.010168,0.298405,0.298249,0.581472,0.455235,60
14,00:42:00,0.983333,0.066891,0.299647,0.303819,0.583616,0.456863,60
15,00:43:00,0.95,0.147252,0.299934,0.305306,0.583216,0.458022,60
16,00:43:58,0.966667,0.113042,0.299795,0.306022,0.583707,0.458461,60
17,00:44:59,0.95,0.079381,0.299932,0.308517,0.584622,0.459576,60
18,00:45:59,0.95,0.087961,0.300752,0.309259,0.586172,0.46027,60
19,00:46:59,0.95,0.104338,0.300792,0.307269,0.587669,0.455442,60
20,00:47:57,0.966667,0.104373,0.301183,0.304917,0.591928,0.453529,60
