attempt_id,global_round,accuracy_gateway_A,accuracy_gateway_B,loss_gateway_A,loss_gateway_B,timestamp_dt_gateway_A,timestamp_dt_gateway_B,accuracy_skew_abs,loss_skew_abs,gateway_train_skew_sec,global_accuracy,global_loss
2,1,1.0,1.0,0.5549505949020386,0.2899053990840912,2026-04-22 17:44:53,2026-04-22 17:44:50,0.0,0.2650451958179474,3.0,1.0,0.422428
2,2,1.0,1.0,0.3466468453407287,0.2357370108366012,2026-04-22 17:45:42,2026-04-22 17:45:42,0.0,0.1109098345041275,0.0,1.0,0.291192
2,3,1.0,1.0,0.0318443290889263,0.0393873788416385,2026-04-22 17:46:46,2026-04-22 17:46:41,0.0,0.007543049752712201,5.0,1.0,0.035616
2,4,0.800000011920929,0.800000011920929,0.4928201735019684,0.4581771194934845,2026-04-22 17:47:44,2026-04-22 17:47:46,0.0,0.03464305400848389,2.0,0.8,0.475499
2,5,0.7666666507720947,0.800000011920929,0.4080157876014709,0.3734454810619354,2026-04-22 17:48:44,2026-04-22 17:48:45,0.03333336114883423,0.03457030653953547,1.0,0.783333,0.390731
2,6,0.9333333373069764,0.8333333134651184,0.2533549070358276,0.3501715064048767,2026-04-22 17:49:43,2026-04-22 17:49:43,0.10000002384185802,0.09681659936904913,0.0,0.883333,0.301763
2,7,0.9666666388511658,0.9666666388511658,0.1493038386106491,0.1823448240756988,2026-04-22 17:50:42,2026-04-22 17:50:42,0.0,0.03304098546504969,0.0,0.966667,0.165824
2,8,0.8999999761581421,0.8999999761581421,0.228668674826622,0.2400979697704315,2026-04-22 17:51:41,2026-04-22 17:51:41,0.0,0.011429294943809482,0.0,0.9,0.234383
2,9,0.8999999761581421,0.9333333373069764,0.2386022508144378,0.2530836760997772,2026-04-22 17:52:40,2026-04-22 17:52:40,0.03333336114883434,0.014481425285339411,0.0,0.916667,0.245843
2,10,0.9333333373069764,1.0,0.2405099421739578,0.0849475860595703,2026-04-22 17:53:39,2026-04-22 17:53:39,0.06666666269302357,0.1555623561143875,0.0,0.966667,0.162729
2,11,1.0,0.9666666388511658,0.1637241691350937,0.0887994095683097,2026-04-22 17:54:37,2026-04-22 17:54:37,0.03333336114883423,0.07492475956678399,0.0,0.983333,0.126262
