round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,23:49:19,0.683333,0.932951,0.286839,0.290279,0.540719,0.410254,60
2,23:50:14,0.933333,0.16022,0.289667,0.293041,0.553947,0.424474,60
3,23:51:13,0.983333,0.06576,0.292126,0.302108,0.562915,0.433391,60
4,23:52:12,1.0,0.030337,0.294585,0.308007,0.569134,0.441339,60
5,23:53:11,1.0,0.02099,0.296292,0.311566,0.574246,0.44713,60
6,23:57:36,0.883333,0.325986,0.292477,0.300798,0.562677,0.437877,60
7,23:58:36,0.8,0.449871,0.286961,0.292272,0.544581,0.43468,60
8,23:59:35,0.816667,0.377957,0.284103,0.289172,0.535779,0.428378,60
9,00:00:34,0.85,0.302002,0.283613,0.287964,0.530184,0.426753,60
10,00:01:33,0.866667,0.320381,0.282605,0.282408,0.518448,0.433554,60
11,00:02:32,0.866667,0.318337,0.28142,0.280903,0.515598,0.439386,60
12,00:03:31,0.833333,0.380255,0.281305,0.275434,0.516587,0.447335,60
13,00:04:31,0.933333,0.166864,0.282785,0.276999,0.516603,0.453707,60
14,00:05:30,0.9,0.223837,0.284551,0.284963,0.517083,0.460768,60
15,00:06:29,0.95,0.176148,0.285501,0.286644,0.517287,0.464213,60
16,00:07:27,0.9,0.19553,0.285853,0.284936,0.517167,0.466934,60
17,00:08:26,0.9,0.266693,0.284518,0.280994,0.517514,0.468055,60
18,00:09:25,0.95,0.140223,0.285161,0.27927,0.520062,0.472373,60
19,00:10:23,0.95,0.180919,0.284415,0.275717,0.516814,0.478239,60
20,00:11:22,0.95,0.2298,0.285109,0.275059,0.520218,0.480352,60
