round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,17:21:22,1.0,0.529764,0.18288,0.270554,0.358312,0.158175,60
2,17:22:16,1.0,0.272002,0.202593,0.301356,0.420547,0.166792,60
3,17:23:19,1.0,0.038066,0.226989,0.35437,0.474777,0.200841,60
4,17:24:17,0.9,0.258716,0.232506,0.35682,0.477634,0.212408,60
5,17:25:16,0.916667,0.25247,0.24106,0.354026,0.487505,0.214976,60
6,17:26:14,0.983333,0.100882,0.251779,0.367935,0.511085,0.231115,60
7,17:27:14,0.916667,0.213776,0.258536,0.379325,0.528594,0.239745,60
8,17:28:12,0.983333,0.055784,0.264879,0.391974,0.54063,0.250912,60
9,17:29:11,0.95,0.14006,0.269944,0.400031,0.551799,0.260488,60
10,17:30:12,0.95,0.098733,0.274241,0.404511,0.554471,0.272534,60
11,17:31:11,0.983333,0.052221,0.279512,0.417098,0.563872,0.289946,60
12,17:32:11,0.966667,0.104798,0.283673,0.423514,0.571403,0.302292,60
13,17:33:10,0.933333,0.109743,0.288368,0.42999,0.579472,0.314549,60
14,17:34:08,0.966667,0.076122,0.293305,0.441737,0.588521,0.331626,60
15,17:35:06,0.95,0.083507,0.298661,0.452242,0.598317,0.346753,60
16,17:36:05,0.983333,0.069239,0.304316,0.471481,0.61268,0.370151,60
17,17:37:04,0.966667,0.069735,0.309298,0.487408,0.626376,0.389777,60
18,17:38:03,1.0,0.027807,0.313087,0.49857,0.63468,0.403903,60
19,17:39:01,1.0,0.016806,0.316439,0.508523,0.640887,0.416373,60
20,17:39:59,1.0,0.024727,0.319688,0.518112,0.645329,0.427696,60
