round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,15:58:10,0.666667,0.8185,0.288918,0.290733,0.538924,0.412049
2,15:58:53,0.983333,0.121277,0.292951,0.297015,0.553089,0.430574
3,15:59:44,1.0,0.037809,0.297449,0.305863,0.561105,0.444581
4,16:00:33,1.0,0.023274,0.300249,0.309945,0.566586,0.453878
5,16:01:24,1.0,0.023609,0.301842,0.314022,0.570579,0.459421
6,16:02:26,0.95,0.277456,0.299067,0.310643,0.56271,0.460319
7,16:03:14,0.866667,0.477869,0.292645,0.29708,0.540684,0.456817
8,16:04:04,0.916667,0.327921,0.291549,0.290944,0.537499,0.460063
9,16:04:54,0.833333,0.38648,0.290198,0.283956,0.53186,0.463216
10,16:05:43,0.85,0.34436,0.290015,0.281674,0.531533,0.466744
11,16:06:34,0.9,0.31594,0.290094,0.287398,0.530875,0.470287
12,16:07:25,0.933333,0.198887,0.28982,0.278213,0.53459,0.471721
13,16:08:14,0.9,0.184943,0.289703,0.2752,0.532405,0.476814
14,16:09:04,0.916667,0.257973,0.289308,0.276238,0.530476,0.482106
15,16:09:54,0.933333,0.195114,0.288264,0.267324,0.531301,0.485548
16,16:10:44,0.866667,0.305902,0.288937,0.263992,0.534252,0.488802
17,16:11:34,0.966667,0.180884,0.289979,0.266411,0.538686,0.485811
18,16:12:23,0.883333,0.312441,0.290216,0.26543,0.538765,0.486929
19,16:13:14,0.883333,0.243187,0.28934,0.258997,0.538385,0.484684
20,16:14:04,0.883333,0.23971,0.290094,0.255488,0.540711,0.487217
