round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,17:44:53,1.0,0.422428,0.173333,0.106474,0.398774,0.268649,60
2,17:45:42,1.0,0.291192,0.197013,0.155121,0.427155,0.325115,60
3,17:46:46,1.0,0.035616,0.228922,0.236235,0.461252,0.38695,60
4,17:47:46,0.8,0.475499,0.220382,0.194088,0.47109,0.355337,60
5,17:48:45,0.783333,0.390731,0.223488,0.171907,0.503302,0.354015,60
6,17:49:43,0.883333,0.301763,0.235182,0.172471,0.545012,0.389594,60
7,17:50:42,0.966667,0.165824,0.249561,0.180889,0.58542,0.425824,60
8,17:51:41,0.9,0.234383,0.260151,0.158479,0.608537,0.451098,60
9,17:52:40,0.916667,0.245843,0.269727,0.155063,0.640254,0.479814,60
10,17:53:38,0.966667,0.162729,0.278587,0.174366,0.672432,0.510836,60
11,17:54:37,0.983333,0.126262,0.286118,0.186329,0.695961,0.524581,60
12,17:55:37,0.916667,0.17469,0.29209,0.193435,0.710401,0.542198,60
13,17:56:35,0.933333,0.121522,0.302238,0.200138,0.720591,0.569626,60
14,17:57:34,0.983333,0.077948,0.30996,0.193935,0.727903,0.584202,60
15,17:58:32,0.933333,0.101683,0.313667,0.202404,0.749652,0.594531,60
16,17:59:31,1.0,0.049663,0.31477,0.197011,0.745253,0.6077,60
17,18:00:30,0.966667,0.086216,0.318098,0.2091,0.757397,0.620195,60
18,18:01:29,0.983333,0.104786,0.321283,0.209788,0.763098,0.632898,60
19,18:02:28,1.0,0.050418,0.32319,0.210453,0.772739,0.630067,60
20,18:03:27,0.95,0.127952,0.326618,0.21708,0.782407,0.642261,60
