experiment,architecture,security,topology,mode,attempt_id,attempt_key,fl_round,round_ref,gateway_count,local_accuracy_min,local_accuracy_max,local_accuracy_skew,local_loss_min,local_loss_max,local_loss_skew,gateway_sync_skew_sec
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,0,1.0,2,0.699999988079071,0.9666666388511658,0.2666666507720947,0.436668336391449,0.6839560270309448,0.24728769063949585,23.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,1,2.0,2,0.800000011920929,1.0,0.19999998807907104,0.1724310368299484,0.4973050653934479,0.32487402856349945,39.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,2,3.0,2,0.8999999761581421,1.0,0.10000002384185791,0.056517731398344,0.4162375330924988,0.3597198016941548,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,3,4.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0290274731814861,0.4603959321975708,0.4313684590160847,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,4,5.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0345561429858207,0.2971560359001159,0.2625998929142952,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,5,6.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0131603041663765,0.2403884381055832,0.22722813393920668,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,6,7.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0074264765717089,0.2747125029563904,0.26728602638468146,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,7,8.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0077791940420866,0.1362278908491134,0.1284486968070268,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,8,9.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0024847318418323,0.1230603158473968,0.12057558400556449,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,9,10.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0031274037901312,0.1902010291814804,0.1870736253913492,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,10,11.0,2,0.8999999761581421,1.0,0.10000002384185791,0.0015823176363483,0.165935069322586,0.1643527516862377,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,11,12.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0022097832988947,0.1371559649705886,0.1349461816716939,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,12,13.0,2,0.8333333134651184,1.0,0.1666666865348816,0.0018591547850519,0.3550280332565307,0.3531688784714788,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,13,14.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0025809451472014,0.2001921087503433,0.1976111636031419,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,14,15.0,2,1.0,1.0,0.0,0.0009671758161857,0.0917788222432136,0.0908116464270279,40.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,15,16.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0020617032423615,0.4211761355400085,0.419114432297647,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,16,17.0,2,1.0,1.0,0.0,0.0011282836785539,0.1176815927028656,0.1165533090243117,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,17,18.0,2,0.9333333373069764,1.0,0.06666666269302357,0.0008448747103102,0.2177994847297668,0.2169546100194566,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,18,19.0,2,0.8666666746139526,1.0,0.13333332538604736,0.0006385996821336,0.210392415523529,0.2097538158413954,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,1,CNN_ASCON#1,19,20.0,2,0.9666666388511658,1.0,0.03333336114883423,0.0005905439611524,0.1235729083418846,0.12298236438073219,41.0
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,0,1.0,2,0.9666666388511658,0.9666666388511658,0.0,0.4250422120094299,0.443373292684555,0.018331080675125122,1.0
CNN_ASCON,CNN,ASCON,standard,ascon,2,CNN_ASCON#2,1,2.0,2,1.0,1.0,0.0,0.142811045050621,0.1429284363985061,0.00011739134788510408,2.0
