experiment,architecture,security,topology,mode,attempt_id,attempt_key,attempt_dir,transport_files,model_metric_files,global_history_files,csv_files_total,pdf_files
RN_ASCON,RN,ASCON,standard,ascon,8,RN_ASCON#8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#8,3,2,1,6,1
RN_ASCON,RN,ASCON,standard,ascon,9,RN_ASCON#9,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#9,3,2,1,6,1
RN_ASCON,RN,ASCON,standard,ascon,10,RN_ASCON#10,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#10,3,2,1,6,1
RN_ASCON,RN,ASCON,standard,ascon,11,RN_ASCON#11,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#11,3,2,1,6,1
RN_ASCON,RN,ASCON,standard,ascon,12,RN_ASCON#12,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#12,3,2,1,6,0
RN_ASCON,RN,ASCON,standard,ascon,13,RN_ASCON#13,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#13,3,2,1,6,0
RN_ASCON,RN,ASCON,standard,ascon,14,RN_ASCON#14,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#14,3,2,1,6,0
RN_ASCON,RN,ASCON,standard,ascon,15,RN_ASCON#15,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#15,3,2,1,6,0
RN_FOG_ASCON,RN,ASCON,fog,ascon,2,RN_FOG_ASCON#2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#2,3,2,1,6,0
RN_FOG_ASCON,RN,ASCON,fog,ascon,3,RN_FOG_ASCON#3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#3,3,2,1,6,0
RN_FOG_ASCON,RN,ASCON,fog,ascon,4,RN_FOG_ASCON#4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#4,3,2,1,6,0
RN_FOG_ASCON,RN,ASCON,fog,ascon,5,RN_FOG_ASCON#5,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#5,3,2,1,6,0
RN_FOG_ASCON,RN,ASCON,fog,ascon,9,RN_FOG_ASCON#9,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results_FOG\#9,3,2,1,6,0
RN_NO_ASCON,RN,NO_ASCON,standard,plain,16,RN_NO_ASCON#16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#16,3,2,1,6,0
