experiment,architecture,security,topology,mode,attempt_id,device_suffix,class_name,samples_seen,pct_within_gateway_attempt
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_leader,scan_A,60,8.522727272727272
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_leader,unknown,100,14.204545454545455
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_peer,mqtt_bruteforce,56,8.446455505279035
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_peer,normal,499,75.26395173453997
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_peer,scan_A,48,7.239819004524888
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,2,gateway_fog_peer,unknown,60,9.049773755656108
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_leader,mqtt_bruteforce,58,8.226950354609928
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_leader,normal,492,69.7872340425532
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_leader,scan_A,55,7.801418439716312
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_leader,unknown,100,14.184397163120568
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_peer,normal,603,90.9502262443439
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,4,gateway_fog_peer,unknown,60,9.049773755656108
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_leader,mqtt_bruteforce,130,16.861219195849547
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_leader,normal,419,54.345006485084305
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_leader,scan_A,118,15.304798962386512
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_leader,unknown,104,13.488975356679637
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_peer,mqtt_bruteforce,153,20.98765432098765
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_peer,normal,397,54.458161865569274
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_peer,scan_A,117,16.049382716049383
CNN_FOG_NO_ASCON,CNN,NO_ASCON,fog,plain,6,gateway_fog_peer,unknown,62,8.50480109739369
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_A,mqtt_bruteforce,55,8.295625942684765
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_A,normal,504,76.01809954751131
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_A,scan_A,44,6.636500754147813
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_A,unknown,60,9.049773755656108
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_B,mqtt_bruteforce,50,7.530120481927711
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_B,normal,504,75.90361445783132
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_B,scan_A,50,7.530120481927711
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,2,gateway_B,unknown,60,9.036144578313253
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_A,mqtt_bruteforce,58,8.516886930983848
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_A,normal,544,79.88252569750367
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_A,scan_A,58,8.516886930983848
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_A,unknown,21,3.0837004405286343
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_B,normal,664,96.7930029154519
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,4,gateway_B,unknown,22,3.206997084548105
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_A,mqtt_bruteforce,111,16.493313521545318
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_A,normal,383,56.90936106983655
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_A,scan_A,119,17.682020802377416
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_A,unknown,60,8.915304606240714
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_B,mqtt_bruteforce,129,19.25373134328358
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_B,normal,358,53.43283582089552
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_B,scan_A,123,18.35820895522388
CNN_NO_ASCON,CNN,NO_ASCON,standard,plain,6,gateway_B,unknown,60,8.955223880597014
RN_ASCON,RN,ASCON,standard,ascon,2,,unknown,1983,100.0
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_A,mqtt_bruteforce,61,6.124497991967871
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_A,normal,749,75.20080321285141
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_A,scan_A,96,9.63855421686747
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_A,unknown,90,9.036144578313253
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_B,mqtt_bruteforce,85,8.49150849150849
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_B,normal,760,75.92407592407594
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_B,scan_A,66,6.593406593406594
RN_ASCON,RN,ASCON,standard,ascon,3,gateway_B,unknown,90,8.991008991008991
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_A,mqtt_bruteforce,43,6.475903614457831
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_A,normal,521,78.46385542168674
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_A,scan_A,40,6.024096385542169
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_A,unknown,60,9.036144578313253
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_B,normal,604,90.96385542168674
RN_ASCON,RN,ASCON,standard,ascon,4,gateway_B,unknown,60,9.036144578313253
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_A,mqtt_bruteforce,48,7.2617246596066565
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_A,normal,514,77.76096822995461
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_A,scan_A,39,5.900151285930408
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_A,unknown,60,9.07715582450832
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_B,normal,601,90.92284417549168
RN_ASCON,RN,ASCON,standard,ascon,5,gateway_B,unknown,60,9.07715582450832
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_A,mqtt_bruteforce,38,6.022187004754358
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_A,normal,489,77.4960380348653
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_A,scan_A,45,7.131537242472266
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_A,unknown,59,9.350237717908081
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_B,normal,633,91.47398843930635
RN_ASCON,RN,ASCON,standard,ascon,6,gateway_B,unknown,59,8.526011560693641
