n_ascon,n_no_ascon,mean_ascon,mean_no_ascon,median_ascon,median_no_ascon,mean_diff_ascon_minus_no_ascon,cliffs_delta,test,p_value,significant_alpha_0_05,normality_note,architecture,topology,metric,comparison,interpretation
8,3,0.9371874939650298,0.8961692448387774,0.9491666607558726,0.9241666585206986,0.041018249126252404,0.3333333333333333,mann_whitney_u_independent,0.496969696969697,False,non_normal_or_small_sample,CNN,standard,local_accuracy_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
8,3,0.1831049046346379,0.30085319123153487,0.1774306125153089,0.27569092428311703,-0.11774828659689696,-0.4166666666666667,welch_t_test_independent,0.350276091633773,False,both_groups_shapiro_not_rejected,CNN,standard,local_loss_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
8,3,60.99999999999999,55.59999999999991,60.349999999999994,52.3,5.400000000000084,0.4166666666666667,mann_whitney_u_independent,0.3572313968123736,False,non_normal_or_small_sample,CNN,standard,p95_round_duration_sec,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
8,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,mann_whitney_u_independent,1.0,False,non_normal_or_small_sample,CNN,standard,round_completion_rate,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
8,3,24.123643750000028,0.6216666666666668,20.562875000000005,0.4855000000000001,23.50197708333336,1.0,mann_whitney_u_independent,0.012121212121212121,True,non_normal_or_small_sample,CNN,standard,server_egress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
8,3,24.460712499999968,0.0,20.663999999999994,0.0,24.460712499999968,1.0,mann_whitney_u_independent,0.01783319593448533,True,non_normal_or_small_sample,CNN,standard,server_ingress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
5,3,-838.3473684210527,67.14035087719299,60.421052631578945,72.15789473684211,-905.4877192982457,-0.2,mann_whitney_u_independent,0.7857142857142857,False,non_normal_or_small_sample,RN,fog,avg_round_duration_sec,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,91.9777166530633,0.0,92.04729464251915,0.0,91.9777166530633,1.0,mann_whitney_u_independent,0.03247332032606962,True,non_normal_or_small_sample,RN,fog,avg_transport_overhead_pct,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor carga de bytes.
5,3,232.2302826608514,115.40089340998345,232.1720698254364,115.68,116.82938925086795,1.0,welch_t_test_independent,7.19558577544179e-09,True,both_groups_shapiro_not_rejected,RN,fog,edge_payload_wire_bytes_avg,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor carga de bytes.
5,3,4.420419999999999,0.16091666666666668,4.421799999999999,0.149,4.259503333333332,1.0,welch_t_test_independent,1.6593257914785285e-12,True,both_groups_shapiro_not_rejected,RN,fog,edge_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
5,3,0.9633334,0.9,0.966667,0.9,0.06333339999999998,0.8666666666666667,welch_t_test_independent,0.05495642782995295,False,both_groups_shapiro_not_rejected,RN,fog,last_global_accuracy,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,0.112425,0.21990433333333334,0.104373,0.184788,-0.10747933333333334,-0.7333333333333333,welch_t_test_independent,0.18153859602666958,False,both_groups_shapiro_not_rejected,RN,fog,last_global_loss,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,0.926999993622303,0.9194444398085276,0.9291666612029076,0.9149999991059303,0.007555553813775373,0.2,welch_t_test_independent,0.5663478518983246,False,both_groups_shapiro_not_rejected,RN,fog,local_accuracy_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,0.2028117585147265,0.2134437265029798,0.19744088624138384,0.2265021160710603,-0.010631967988253305,-0.06666666666666667,welch_t_test_independent,0.7947571905092351,False,both_groups_shapiro_not_rejected,RN,fog,local_loss_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,83.4799999999995,83.96666666666597,79.8999999999996,92.6999999999991,-0.48666666666646563,-0.06666666666666667,welch_t_test_independent,0.9785979623513594,False,both_groups_shapiro_not_rejected,RN,fog,p95_round_duration_sec,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,mann_whitney_u_independent,1.0,False,non_normal_or_small_sample,RN,fog,round_completion_rate,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
5,3,59.18208000000002,0.6422666666666669,51.73060000000001,0.5720000000000002,58.539813333333356,1.0,welch_t_test_independent,0.0011963824317965228,True,both_groups_shapiro_not_rejected,RN,fog,server_egress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
5,3,50.47260000000001,0.0,50.315400000000004,0.0,50.47260000000001,1.0,mann_whitney_u_independent,0.03247332032606962,True,non_normal_or_small_sample,RN,fog,server_ingress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
14,14,72.91061742682173,51.011357416529826,62.05263157894737,50.131578947368425,21.899260010291904,0.9285714285714286,mann_whitney_u_independent,3.135495050537401e-05,True,non_normal_or_small_sample,RN,standard,avg_round_duration_sec,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
15,14,89.27933547225366,0.0,92.62876314247785,0.0,89.27933547225366,1.0,mann_whitney_u_independent,1.2982704712784435e-06,True,non_normal_or_small_sample,RN,standard,avg_transport_overhead_pct,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor carga de bytes.
14,14,232.1236519029222,115.28724500260776,232.34853316680545,115.37490022212619,116.83640690031444,1.0,mann_whitney_u_independent,7.4678435688707155e-06,True,non_normal_or_small_sample,RN,standard,edge_payload_wire_bytes_avg,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor carga de bytes.
14,14,4.672742857142857,0.1665071428571428,4.656325,0.1625,4.5062357142857135,1.0,welch_t_test_independent,3.0681327543668107e-24,True,both_groups_shapiro_not_rejected,RN,standard,edge_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
14,14,0.9380951428571427,0.9297617857142855,0.933333,0.933333,0.008333357142857212,0.09183673469387756,mann_whitney_u_independent,0.6829504784247998,False,non_normal_or_small_sample,RN,standard,last_global_accuracy,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
14,14,0.15451692857142857,0.15813521428571428,0.150437,0.145521,-0.0036182857142857128,0.01020408163265306,welch_t_test_independent,0.8860986845751269,False,both_groups_shapiro_not_rejected,RN,standard,last_global_loss,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
13,14,0.9216288052328215,0.9166208736243703,0.9158333271741868,0.9079166623453299,0.005007931608451255,0.16483516483516483,welch_t_test_independent,0.6099705351531514,False,both_groups_shapiro_not_rejected,RN,standard,local_accuracy_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
13,14,0.21215426666134699,0.23120344239330787,0.23254928552778437,0.24329347498714923,-0.019049175731960882,-0.18681318681318682,welch_t_test_independent,0.3834939587720554,False,both_groups_shapiro_not_rejected,RN,standard,local_loss_avg,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
14,14,91.63928571428565,53.77499999999996,64.34999999999998,52.14999999999999,37.864285714285685,0.8979591836734694,mann_whitney_u_independent,5.7553244908314206e-05,True,non_normal_or_small_sample,RN,standard,p95_round_duration_sec,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
14,14,0.680952380952381,0.6880952380952381,0.6666666666666666,0.6666666666666666,-0.0071428571428571175,0.17857142857142858,mann_whitney_u_independent,0.3043351815861083,False,non_normal_or_small_sample,RN,standard,round_completion_rate,ASCON_vs_NO_ASCON,No hay diferencia estadisticamente significativa con alpha=0.05 en estos intentos.
15,14,25.22599333333334,0.2508142857142857,19.2391,0.24295,24.975179047619054,1.0,mann_whitney_u_independent,5.097028889963147e-06,True,non_normal_or_small_sample,RN,standard,server_egress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
15,14,27.398829999999997,0.0,22.40985,0.0,27.398829999999997,1.0,mann_whitney_u_independent,1.2982704712784435e-06,True,non_normal_or_small_sample,RN,standard,server_ingress_processing_p95_ms,ASCON_vs_NO_ASCON,Diferencia significativa: ASCON mayor latencia/tiempo.
