round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,18:15:59,0.766667,0.716873,0.289522,0.292051,0.540919,0.409526
2,18:16:53,0.966667,0.140104,0.293115,0.296928,0.554844,0.425787
3,18:17:53,1.0,0.037189,0.297042,0.307292,0.563961,0.441028
4,18:18:51,1.0,0.016519,0.3001,0.31195,0.571498,0.450025
5,18:19:50,1.0,0.015542,0.302098,0.318584,0.576711,0.45525
6,18:20:49,1.0,0.009494,0.303174,0.323408,0.579545,0.458393
7,18:21:54,0.983333,0.111128,0.301722,0.317977,0.573791,0.460998
8,18:22:53,0.85,0.433231,0.292267,0.301669,0.546915,0.442942
9,18:23:52,0.883333,0.37669,0.289169,0.288774,0.54307,0.436605
10,18:24:51,0.866667,0.425706,0.288379,0.290679,0.536432,0.441932
11,18:25:50,0.85,0.323838,0.287489,0.282784,0.522886,0.447355
12,18:26:49,0.933333,0.186699,0.287973,0.286204,0.519452,0.45504
13,18:27:48,0.85,0.288288,0.288239,0.285236,0.519241,0.460709
14,18:28:49,0.916667,0.21706,0.288728,0.285937,0.519346,0.464721
15,18:29:48,0.883333,0.224941,0.290547,0.283087,0.518796,0.467149
16,18:30:49,0.916667,0.278612,0.291154,0.282355,0.519069,0.46797
17,18:31:51,0.933333,0.260793,0.292422,0.28274,0.518347,0.472348
18,18:32:51,0.883333,0.238404,0.291335,0.279867,0.517161,0.472158
19,18:33:50,0.9,0.210023,0.291748,0.278483,0.517165,0.478227
20,18:34:49,0.933333,0.139853,0.293376,0.280735,0.519042,0.483878
