round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan,fog_samples
1,17:44:53,1.0,0.422428,0.173333,0.106474,0.398774,0.268649,60
2,17:45:42,1.0,0.291192,0.197013,0.155121,0.427155,0.325115,60
3,17:46:46,1.0,0.035616,0.228922,0.236235,0.461252,0.38695,60
