round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,15:38:15,0.683333,0.630181,0.287673,0.290824,0.540697,0.410966
2,15:38:59,0.966667,0.089041,0.291268,0.29528,0.556032,0.428113
3,15:39:49,0.966667,0.095561,0.295254,0.304556,0.56517,0.444222
4,15:40:39,1.0,0.016891,0.297115,0.310308,0.570798,0.452084
5,15:41:33,1.0,0.0184,0.298937,0.313519,0.575408,0.457117
6,15:42:28,0.866667,0.318298,0.295839,0.305602,0.571455,0.448254
7,15:43:18,0.766667,0.515389,0.292638,0.296585,0.565454,0.446453
8,15:44:08,0.8,0.319617,0.28948,0.285607,0.543354,0.449128
9,15:44:58,0.783333,0.423149,0.287674,0.281729,0.538023,0.450426
10,15:45:48,0.9,0.26049,0.287377,0.284795,0.53421,0.452426
11,15:46:38,0.9,0.272431,0.288829,0.289779,0.535455,0.458211
12,15:47:28,0.833333,0.318351,0.288844,0.289988,0.532432,0.464309
13,15:48:18,0.9,0.259849,0.288782,0.285434,0.530693,0.468659
14,15:49:08,0.933333,0.169007,0.288523,0.287637,0.527465,0.475845
15,15:49:58,0.95,0.129434,0.288747,0.294346,0.524197,0.482224
16,15:50:48,0.916667,0.198713,0.288563,0.291991,0.526317,0.477313
17,15:51:39,0.916667,0.170955,0.288277,0.285676,0.524375,0.47885
18,15:52:29,0.866667,0.34158,0.28983,0.283457,0.531835,0.483381
19,15:53:18,0.983333,0.109146,0.290836,0.288668,0.531313,0.483059
20,15:54:08,0.933333,0.147609,0.291088,0.291228,0.531008,0.485566
