round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,15:00:42,0.75,1.084497,0.286758,0.29374,0.535008,0.403914
2,15:01:26,0.95,0.206875,0.287766,0.297325,0.540988,0.417531
3,15:02:16,0.9,0.293747,0.288104,0.302496,0.549025,0.430663
4,15:03:06,0.916667,0.274053,0.288233,0.304089,0.546728,0.437455
5,15:04:06,0.966667,0.096826,0.288942,0.303892,0.54302,0.445324
6,15:04:58,0.816667,0.643055,0.285789,0.297854,0.531784,0.440359
7,15:05:49,0.833333,0.41382,0.283889,0.289231,0.520884,0.43624
8,15:06:39,0.9,0.222458,0.283582,0.28574,0.523541,0.436373
9,15:07:28,0.9,0.267256,0.284183,0.287229,0.527019,0.440889
10,15:08:19,0.916667,0.236006,0.284632,0.288028,0.522898,0.445943
11,15:09:08,0.9,0.226532,0.28556,0.29099,0.524288,0.448841
12,15:09:58,0.916667,0.201756,0.285924,0.291743,0.525959,0.451149
13,15:10:48,0.916667,0.172466,0.286147,0.288711,0.527769,0.452179
14,15:11:39,0.983333,0.083719,0.286983,0.290886,0.529702,0.457431
15,15:12:28,0.966667,0.141113,0.28685,0.288862,0.530332,0.460599
16,15:13:19,0.916667,0.177279,0.286838,0.289633,0.529973,0.463192
17,15:14:08,0.966667,0.156582,0.287874,0.289224,0.53234,0.463886
18,15:14:58,0.9,0.194628,0.286772,0.279916,0.530159,0.467567
19,15:15:48,0.85,0.23734,0.286916,0.279259,0.530249,0.474566
20,15:16:38,0.95,0.203323,0.287245,0.280779,0.530543,0.482858
