experiment,architecture,attempt_id,ascon_ops,encrypt_ops,decrypt_ops,p50_latency_ms,p95_latency_ms,max_latency_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_pct,avg_expansion_ratio,passes_min_ops_1000,passes_p95_latency_50ms,passes_avg_overhead_50pct
CNN_FOG_ASCON,CNN_FOG,2,1403.0,120.0,1283.0,2.055,35.526599999999995,91.394,614.216678545973,898.0976478973628,283.88096935138987,92.24256356825136,1.9224256356825136,True,True,False
CNN_FOG_ASCON,CNN_FOG,3,1402.0,120.0,1282.0,3.6565000000000003,35.88505,100.003,613.6219686162625,897.3081312410842,283.6861626248217,92.21199279526894,1.9221199279526895,True,True,False
CNN_FOG_ASCON,CNN_FOG,4,1405.0,120.0,1285.0,3.771,36.961,103.115,613.9950177935943,897.9281138790036,283.93309608540926,91.91135680177763,1.9191135680177764,True,True,False
CNN_FOG_ASCON,CNN_FOG,5,1432.0,120.0,1312.0,4.002000000000001,35.97695,167.45,601.7129888268156,881.5167597765363,279.8037709497207,91.9405450944426,1.919405450944426,True,True,False
CNN_FOG_ASCON,CNN_FOG,6,1409.0,120.0,1289.0,3.892,35.90199999999999,82.109,609.556422995032,891.8502484031228,282.29382540809087,93.54588319197956,1.9354588319197954,True,True,False
CNN_FOG_ASCON,CNN_FOG,7,1402.0,120.0,1282.0,3.8585000000000003,35.159299999999995,78.08,611.1184022824536,893.984308131241,282.86590584878746,94.00820669867099,1.94008206698671,True,True,False
CNN_FOG_ASCON,CNN_FOG,8,40.0,20.0,20.0,12.128,42.108199999999925,80.74,3611.5,4906.8,1295.3,35.86314168739763,1.3586314168739764,False,True,True
RN_ASCON,RN,3,2087.0,150.0,1937.0,4.074,34.708,97.077,563.6372783900335,830.9022520364159,267.2649736463824,93.02090749104346,1.9302090749104344,True,True,False
RN_ASCON,RN,4,1388.0,100.0,1288.0,4.133,34.35989999999999,75.867,564.7802593659942,832.3717579250721,267.5914985590778,92.45383544410636,1.9245383544410635,True,True,False
RN_ASCON,RN,5,1382.0,100.0,1282.0,3.959,33.88815,50.955,567.2575976845152,835.7149059334298,268.4573082489146,92.4800734470992,1.9248007344709919,True,True,False
RN_ASCON,RN,6,1383.0,99.0,1284.0,3.983,34.303399999999996,96.637,561.8112798264642,828.4432393347795,266.6319595083153,92.532291161487,1.9253229116148698,True,True,False
RN_ASCON,RN,7,1386.0,100.0,1286.0,4.133,34.941250000000004,104.711,566.1551226551227,834.2611832611833,268.1060606060606,92.31796867679682,1.9231796867679687,True,True,False
RN_ASCON,RN,8,1384.0,100.0,1284.0,4.0600000000000005,34.17319999999999,94.098,566.6423410404624,834.8815028901735,268.23916184971097,92.38591836081464,1.9238591836081467,True,True,False
RN_ASCON,RN,9,1380.0,100.0,1280.0,4.126,33.882349999999995,91.105,567.5920289855072,836.1333333333333,268.5413043478261,92.80472374108356,1.9280472374108357,True,True,False
RN_ASCON,RN,10,1381.0,100.0,1281.0,4.18,34.084,74.571,567.8247646632875,836.4467776973207,268.62201303403333,92.62876314247785,1.9262876314247783,True,True,False
RN_ASCON,RN,11,1383.0,100.0,1283.0,4.008,34.93799999999999,110.538,566.4172089660159,834.5791757049891,268.16196673897326,92.51206932255957,1.9251206932255962,True,True,False
