experiment,architecture,mode,attempt_id,edge_processing_p95_ms,server_ingress_processing_p95_ms,server_egress_processing_p95_ms,edge_payload_bytes_avg,transport_events,ascon_ops,avg_local_accuracy,avg_local_loss,avg_fog_accuracy,avg_fog_loss,rounds_observed,round_completion_rate,last_global_accuracy,last_global_loss,avg_round_duration_sec,avg_overhead_pct,avg_overhead_bytes
CNN_FOG_ASCON,CNN_FOG,ascon,2,4.410699999999999,52.86210000000001,52.15450000000001,231.5137157107232,1403,1403,0.9433333247900009,0.18735738316318018,0.9433333247900009,0.18735738316318018,20,0.6666666666666666,0.95,0.127952,58.63157894736842,92.24256356825136,283.88096935138987
CNN_FOG_ASCON,CNN_FOG,ascon,3,4.5489500000000005,24.199400000000004,20.49975,231.60232945091514,1402,1402,0.9249999970197678,0.2538406622596085,0.9249999970197678,0.2538406622596085,20,0.6666666666666666,0.95,0.140719,58.94736842105263,92.21199279526894,283.6861626248217
CNN_FOG_ASCON,CNN_FOG,ascon,4,4.509,30.76385,18.98170000000001,232.48215767634855,1405,1405,0.936666664481163,0.13567922398433435,0.936666664481163,0.13567922398433435,20,0.6666666666666666,1.0,0.071088,58.578947368421055,91.91135680177763,283.93309608540926
CNN_FOG_ASCON,CNN_FOG,ascon,5,4.61345,80.06650000000003,110.27710000000005,232.7305194805195,1432,1432,0.9674999952316284,0.12974791790475132,0.9674999952316284,0.12974791790475135,20,0.6666666666666666,1.0,0.024727,58.78947368421053,91.9405450944426,279.8037709497207
CNN_FOG_ASCON,CNN_FOG,ascon,6,4.594799999999999,21.0146,16.853800000000007,228.8775847808106,1409,1409,0.8883333280682564,0.2976895647123456,0.8883333280682564,0.2976895647123456,20,0.6666666666666666,0.95,0.150578,58.31578947368421,93.54588319197956,282.29382540809087
CNN_FOG_ASCON,CNN_FOG,ascon,7,4.53545,21.796699999999998,21.13285,227.96505823627288,1402,1402,0.9174999922513962,0.27052879189141094,0.9174999922513962,0.27052879189141094,20,0.6666666666666666,1.0,0.03105,58.36842105263158,94.00820669867099,282.86590584878746
CNN_FOG_ASCON,CNN_FOG,ascon,8,,31.566050000000025,42.71340000000003,,40,40,,,,,0,,,,,35.86314168739763,1295.3
RN_ASCON,RN,ascon,3,4.6552,28.2171,33.84409999999998,231.87066593285635,2087,2087,0.8988888800144196,0.2457222661934793,,,30,1.0,0.916667,0.214765,65.24137931034483,93.02090749104346,267.2649736463824
RN_ASCON,RN,ascon,4,4.715599999999999,18.298149999999993,14.329049999999999,232.97019867549668,1388,1388,0.9391666635870933,0.1678272337070666,,,20,0.6666666666666666,0.983333,0.037074,63.473684210526315,92.45383544410636,267.5914985590778
RN_ASCON,RN,ascon,5,4.532,19.76359999999999,17.01640000000002,232.95341098169717,1382,1382,0.9424999982118607,0.1754893167002592,,,20,0.6666666666666666,0.983333,0.038647,64.63157894736842,92.4800734470992,268.4573082489146
RN_ASCON,RN,ascon,6,4.6546,13.83555,15.801650000000002,233.03983402489627,1383,1383,0.9524999931454659,0.17176540225045753,,,20,0.6666666666666666,0.916667,0.237888,60.63157894736842,92.532291161487,266.6319595083153
RN_ASCON,RN,ascon,7,4.80275,22.40985,24.432350000000003,233.29850746268656,1386,1386,0.9533333271741867,0.1404073494893964,,,20,0.6666666666666666,0.966667,0.151863,59.473684210526315,92.31796867679682,268.1060606060606
RN_ASCON,RN,ascon,8,4.7347,24.764799999999997,19.2391,233.12624584717608,1384,1384,0.9508333280682564,0.15097474250360388,,,20,0.6666666666666666,0.95,0.151913,59.68421052631579,92.38591836081464,268.23916184971097
RN_ASCON,RN,ascon,9,4.720199999999999,17.526849999999996,15.119500000000002,232.17666666666668,1380,1380,0.9091666623950004,0.2395999944768846,,,20,0.6666666666666666,0.933333,0.178108,59.36842105263158,92.80472374108356,268.5413043478261
RN_ASCON,RN,ascon,10,4.857,16.45184999999999,17.35445000000001,232.5203996669442,1381,1381,0.9158333271741868,0.23254928552778437,,,20,0.6666666666666666,0.933333,0.139853,59.473684210526315,92.62876314247785,268.62201303403333
RN_ASCON,RN,ascon,11,4.6437,21.87915,17.7754,232.9002493765586,1383,1383,0.9258333295583725,0.18720949272392312,,,20,0.6666666666666666,0.933333,0.123043,59.31578947368421,92.51206932255957,268.16196673897326
RN_NO_ASCON,RN,plain,16,0.159,0.0,0.24735000000000001,114.64529558701082,1377,0,0.9083333298563957,0.2463823441416025,,,20,0.6666666666666666,0.933333,0.155369,62.73684210526316,0.0,0.0
RN_NO_ASCON,RN,plain,17,0.184,0.0,0.2579499999999999,115.2803889789303,2121,0,0.9083333273728689,0.2319341416315486,,,30,1.0,0.866667,0.261434,50.10344827586207,0.0,0.0
RN_NO_ASCON,RN,plain,18,0.167,0.0,0.2643500000000001,116.33828382838284,1392,0,0.956666661798954,0.15658352366299363,,,20,0.6666666666666666,0.933333,0.089868,50.10526315789474,0.0,0.0
RN_NO_ASCON,RN,plain,19,0.162,0.0,0.22525,115.87760199833473,1379,0,0.9416666626930237,0.15702917862217872,,,20,0.6666666666666666,0.933333,0.103459,50.05263157894737,0.0,0.0
RN_NO_ASCON,RN,plain,20,0.151,0.0,0.2563500000000001,116.23970944309927,1419,0,0.9474999949336051,0.164101247995859,,,20,0.6666666666666666,0.966667,0.058061,50.05263157894737,0.0,0.0
RN_NO_ASCON,RN,plain,21,0.1780999999999999,0.0,0.22949999999999984,116.09583333333333,1373,0,0.9410256346066793,0.16053071378682476,,,19,0.6333333333333333,0.966667,0.085369,50.05555555555556,0.0,0.0
RN_NO_ASCON,RN,plain,22,0.161,0.0,0.22815000000000002,116.0,1389,0,0.9474999934434891,0.1671123376290779,,,20,0.6666666666666666,0.966667,0.143433,50.05263157894737,0.0,0.0
RN_NO_ASCON,RN,plain,23,0.156,0.0,0.31230000000000013,115.42774566473989,1391,0,0.907499997317791,0.257742453715764,,,20,0.6666666666666666,0.883333,0.269965,50.26315789473684,0.0,0.0
RN_NO_ASCON,RN,plain,24,0.183,0.0,0.23854999999999998,115.41342170671085,1387,0,0.8966666609048843,0.28624974556732924,,,20,0.6666666666666666,0.933333,0.140267,50.1578947368421,0.0,0.0
RN_NO_ASCON,RN,plain,25,0.184,0.0,0.22625000000000003,115.0298755186722,1385,0,0.9058333277702332,0.27666649012826383,,,20,0.6666666666666666,0.95,0.203323,50.31578947368421,0.0,0.0
RN_NO_ASCON,RN,plain,26,0.156,0.0,0.23575,115.33637873754152,1384,0,0.9016666576266289,0.27841739188879727,,,20,0.6666666666666666,0.933333,0.139039,50.1578947368421,0.0,0.0
RN_NO_ASCON,RN,plain,27,0.163,0.0,0.2902500000000004,115.21710526315789,1396,0,0.8933333262801171,0.24020460583269596,,,20,0.6666666666666666,0.933333,0.147609,50.1578947368421,0.0,0.0
RN_NO_ASCON,RN,plain,28,0.155,0.0,0.26420000000000027,115.11564059900167,1382,0,0.9066666603088379,0.26367671163752676,,,20,0.6666666666666666,0.883333,0.23971,50.21052631578947,0.0,0.0
RN_NO_ASCON,RN,plain,29,0.17199999999999976,0.0,0.2352,112.00414937759336,1383,0,0.8699999958276748,0.35021730726584793,,,20,0.6666666666666666,0.933333,0.176987,49.73684210526316,0.0,0.0
