comparison,metric,n_ascon,n_no_ascon,mean_ascon,mean_no_ascon,mean_diff_ascon_minus_no_ascon,percent_change_vs_no_ascon,ci95_mean_diff_low,ci95_mean_diff_high,shapiro_p_ascon,shapiro_p_no_ascon,selected_test,test_statistic,p_value,alpha,statistically_significant,cohens_d,paired_design,note
RN_ASCON_vs_RN_NO_ASCON,edge_processing_p95_ms,9,14,4.7017500000000005,0.1665071428571428,4.535242857142857,2723.7527347604146,4.476469682539682,4.593694543650793,0.8797436540295853,0.08666494361204752,welch_ttest,142.24301712784083,3.908617529181974e-15,0.05,True,76.26723782097318,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,server_ingress_processing_p95_ms,9,14,20.349655555555554,0.0,20.349655555555554,,17.63602472222222,23.224278888888886,0.9795097653550688,,mann_whitney_u,126.0,7.759698862449339e-06,0.05,True,7.41604332673776,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,server_egress_processing_p95_ms,9,14,19.43466666666667,0.2508142857142857,19.183852380952384,7648.628277420214,16.026685367063497,23.46256601190476,0.008640695911670907,0.04058690058613393,mann_whitney_u,126.0,8.246196397155047e-05,0.05,True,5.046462375268157,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,edge_payload_bytes_avg,9,14,232.76179762610874,115.28724500260776,117.47455262350098,101.89726766464386,116.92264541946095,118.14649055639775,0.16901345121737388,0.0010553928017869735,mann_whitney_u,126.0,8.246196397155047e-05,0.05,True,131.95446448497273,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,avg_round_duration_sec,9,14,61.25489009881024,51.011357416529826,10.243532682280417,20.080886298785458,7.8088808587560745,12.374974433209445,0.007649896901611666,3.6654543058371513e-07,mann_whitney_u,120.0,0.00036094673018251483,0.05,True,3.344166496972276,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,last_global_accuracy,9,14,0.9462962222222221,0.9297617857142855,0.016534436507936623,1.7783519135747348,-0.005290849206348924,0.04021150000000007,0.14893385617399207,0.013597334772592607,mann_whitney_u,76.5,0.39104206077840864,0.05,False,0.5599708544914754,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,last_global_loss,9,14,0.14146155555555553,0.15813521428571428,-0.016673658730158747,-10.543925213288198,-0.07283365238095238,0.03737202956349208,0.4177571578861463,0.48106363557524523,welch_ttest,-0.5762646925049102,0.5721694213556593,0.05,False,-0.24888857421051463,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
RN_ASCON_vs_RN_NO_ASCON,round_completion_rate,9,14,0.7037037037037037,0.6880952380952381,0.015608465608465627,2.2683583237216483,-0.06428571428571417,0.11111111111111116,3.2174928627621727e-07,4.889360382329123e-07,mann_whitney_u,69.5,0.5183206817026913,0.05,False,0.1581468242293334,False,Mann-Whitney is used for non-normal independent samples; Wilcoxon signed-rank would require paired runs.
