timestamp,device_name,device_suffix,hostname,run_id,stage,fl_round,num_samples,accuracy,loss,buffer_target,experiment,architecture,mode,attempt_id,source_file,fog_role,peer_count
2026-04-15 13:59:36,gateway,gateway_A,raspberrypi,1,local_train,26,30,0.9333333373069764,0.1983518600463867,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_A_2.csv,,
2026-04-15 14:00:35,gateway,gateway_A,raspberrypi,1,local_train,27,30,0.9333333373069764,0.1471989750862121,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_A_2.csv,,
2026-04-15 14:01:34,gateway,gateway_A,raspberrypi,1,local_train,28,30,0.9333333373069764,0.1001088246703147,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_A_2.csv,,
2026-04-15 14:02:34,gateway,gateway_A,raspberrypi,1,local_train,29,30,0.9333333373069764,0.1777136772871017,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_A_2.csv,,
2026-04-15 13:31:07,gateway,gateway_B,gatewayB,1,local_train,0,30,0.699999988079071,0.9278846979141236,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:32:00,gateway,gateway_B,gatewayB,1,local_train,1,30,1.0,0.0883437544107437,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:33:01,gateway,gateway_B,gatewayB,1,local_train,2,30,0.9666666388511658,0.0871630981564521,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:34:00,gateway,gateway_B,gatewayB,1,local_train,3,30,1.0,0.0211145672947168,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:34:59,gateway,gateway_B,gatewayB,1,local_train,4,30,1.0,0.0106034241616725,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
2026-04-15 13:39:03,gateway,gateway_B,gatewayB,1,local_train,5,30,0.8333333134651184,0.5216277837753296,30.0,RN_ASCON,RN,ascon,3,model_metrics_gateway_gateway_B_2.csv,,
