round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,00:15:59,0.6,0.807021,0.166805,0.296866,0.394968,0.294896
2,00:16:53,0.866667,0.619061,0.176642,0.315137,0.427113,0.314082
3,00:17:51,0.8,0.529298,0.189128,0.344534,0.469327,0.341776
4,00:18:50,0.733333,0.556278,0.201132,0.369265,0.508311,0.375679
5,00:19:49,0.883333,0.372749,0.213836,0.392982,0.541568,0.408518
6,00:20:47,0.916667,0.339283,0.224638,0.407601,0.567085,0.435154
7,00:21:46,0.95,0.281272,0.236393,0.426107,0.5884,0.463914
8,00:22:46,0.983333,0.181932,0.246497,0.442746,0.604984,0.488299
9,00:23:45,0.983333,0.124301,0.256267,0.458798,0.617604,0.511408
10,00:24:44,0.95,0.172131,0.261237,0.466419,0.620594,0.523489
11,00:25:42,0.966667,0.118569,0.268318,0.475782,0.628747,0.536045
12,00:26:41,0.883333,0.320343,0.277066,0.487829,0.640555,0.55014
13,00:27:40,0.9,0.261709,0.283153,0.498149,0.655228,0.554147
14,00:28:39,0.916667,0.209723,0.288567,0.508534,0.666361,0.559758
15,00:29:38,0.916667,0.250074,0.293294,0.515936,0.673127,0.56941
16,00:30:37,0.933333,0.121922,0.297664,0.525416,0.682569,0.573659
17,00:31:37,0.966667,0.139623,0.300652,0.538131,0.693582,0.581467
18,00:32:36,0.95,0.140883,0.305608,0.545034,0.706895,0.586744
19,00:33:34,0.933333,0.148992,0.308761,0.550779,0.717537,0.590557
20,00:34:34,0.916667,0.145737,0.311964,0.55949,0.72868,0.5962
21,00:35:33,1.0,0.084376,0.315254,0.56614,0.735141,0.60128
