round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,12:00:39,0.833333,0.662626,0.286291,0.292619,0.541326,0.409798
2,12:01:23,0.983333,0.088242,0.291606,0.296135,0.557025,0.426221
3,12:02:13,1.0,0.048471,0.296226,0.306338,0.568339,0.439202
4,12:03:05,1.0,0.01996,0.299248,0.311311,0.575911,0.447273
5,12:03:59,1.0,0.0196,0.301018,0.316004,0.581132,0.452494
6,12:04:51,0.933333,0.233403,0.298089,0.312799,0.575447,0.452474
7,12:05:41,0.916667,0.348831,0.295477,0.306643,0.566791,0.454319
8,12:06:31,0.9,0.308938,0.294409,0.296375,0.55871,0.453709
9,12:07:21,0.966667,0.099089,0.295179,0.295398,0.558146,0.455589
10,12:08:11,0.95,0.175661,0.296777,0.2968,0.563467,0.459997
11,12:09:01,0.983333,0.049506,0.298213,0.302349,0.568353,0.463709
12,12:09:51,1.0,0.035382,0.299181,0.305118,0.567202,0.46797
13,12:10:41,1.0,0.032181,0.300635,0.309627,0.568484,0.472529
14,12:11:31,0.933333,0.303297,0.301355,0.312811,0.570911,0.475892
15,12:12:22,0.95,0.154626,0.301686,0.308736,0.574231,0.473799
16,12:13:11,0.95,0.118637,0.302709,0.304268,0.577948,0.473054
17,12:14:01,0.95,0.165827,0.30225,0.303309,0.576626,0.473375
18,12:14:51,0.983333,0.081051,0.302557,0.302897,0.577067,0.474108
19,12:15:41,0.966667,0.096473,0.303015,0.304032,0.579044,0.476918
20,12:16:31,0.933333,0.089868,0.303741,0.300075,0.581102,0.479136
