timestamp,uptime_s,device_name,device_suffix,hostname,run_id,channel,operation,pt_bytes,enc_bytes,overhead_bytes,elapsed_ms,fl_round,client_id,sample_label,sample_label_name,attempt_id,attempt_dir,source_file,source_scope,timestamp_dt,event_type,round_ref,gateway_id,node_id,event_name,status,trace_id,stage,num_samples,accuracy,loss,buffer_target,round,time,w3_mag,w4_normal,w4_brute,w4_scan
13:29:07.915,0.8,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,117.0,233.0,116.0,1.336,0.0,esp32_edge_simulator_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:29:07.915,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:29:26.212,0.8,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,118.0,237.0,119.0,1.549,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:29:26.212,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:12.209,65.1,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,119.0,237.0,118.0,3.97,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:12.209,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:14.921,67.8,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,120.0,237.0,117.0,4.087,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:14.921,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:15.057,67.9,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,113.0,229.0,116.0,1.321,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:15.057,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:15.069,49.6,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,120.0,237.0,117.0,3.824,0.0,esp32_edge_normal_2,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:15.069,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:15.092,49.7,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,117.0,233.0,116.0,3.663,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:15.092,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:17.170,70.0,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,113.0,229.0,116.0,1.354,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:17.170,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:18.383,52.9,gateway,gateway_B,gatewayB,2.0,ESP32->RPi,decrypt,120.0,237.0,117.0,4.245,0.0,esp32_edge_normal_1,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_B_2.csv,gateway_transport,2026-04-15 13:30:18.383,transport.crypto,1,gateway_B,gateway_B,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
13:30:19.923,72.8,gateway,gateway_A,raspberrypi,2.0,ESP32->RPi,decrypt,121.0,241.0,120.0,1.435,0.0,esp32_edge_normal_3,0.0,normal,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#3,ascon_metrics_gateway_gateway_A_2.csv,gateway_transport,2026-04-15 13:30:19.923,transport.crypto,1,gateway_A,gateway_A,transport.crypto.gateway,reconstructed_from_csv,attempt:3:round:1,,,,,,,,,,,
