attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
3,gateway_transport,gateway_A,ESP32->RPi,decrypt,906.0,3.140626931567329,3.8295,4.482,6.446,114.89293598233995,231.39735099337747,116.50441501103752,101.7597946828869,2.0175979468288694
3,gateway_transport,gateway_A,PC->RPi,decrypt,30.0,63.323,70.5425,93.86729999999999,97.077,3535.866666666667,4798.133333333333,1262.2666666666667,35.698941120076704,1.3569894112007668
3,gateway_transport,gateway_A,RPi->ESP32,encrypt,30.0,42.69339999999999,36.5965,56.59965,59.256,3535.866666666667,4798.133333333333,1262.2666666666667,35.698941120076704,1.3569894112007668
3,gateway_transport,gateway_A,RPi->PC,encrypt,30.0,36.067233333333334,34.6405,40.50404999999999,68.11,3638.3,4934.666666666667,1296.3666666666666,35.63108817075144,1.3563108817075142
3,gateway_transport,gateway_B,ESP32->RPi,decrypt,911.0,3.5957310647639957,4.124,4.7615,5.564,115.54994511525796,232.34138309549945,116.7914379802415,101.29960759371659,2.0129960759371657
3,gateway_transport,gateway_B,PC->RPi,decrypt,30.0,32.35356666666667,32.5895,35.0717,35.836,3535.866666666667,4798.133333333333,1262.2666666666667,35.698941120076704,1.3569894112007668
3,gateway_transport,gateway_B,RPi->ESP32,encrypt,30.0,34.581366666666675,34.1245,38.00335,38.861,3535.866666666667,4798.133333333333,1262.2666666666667,35.698941120076704,1.3569894112007668
3,gateway_transport,gateway_B,RPi->PC,encrypt,30.0,37.980599999999995,37.513000000000005,40.751599999999996,43.207,3637.9,4933.733333333334,1295.8333333333333,35.62039057716526,1.3562039057716526
3,server_transport,Asus,PC->RPi,encrypt,30.0,16.223133333333333,12.815,33.84409999999998,36.342,3535.866666666667,4798.133333333333,1262.2666666666667,35.698941120076704,1.3569894112007668
3,server_transport,Asus,RPi->PC,decrypt,60.0,15.087833333333332,12.5255,28.2171,34.503,3638.1,4950.2,1312.1,36.065531713122446,1.3606553171312243
4,gateway_transport,gateway_A,ESP32->RPi,decrypt,604.0,3.3442549668874175,3.9595000000000002,4.61195,8.202,115.3658940397351,232.01986754966887,116.65397350993378,101.42649845174263,2.0142649845174265
4,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,32.97345,33.1665,34.4625,35.308,3532.15,4792.8,1260.65,35.690726057286255,1.3569072605728627
4,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,33.540600000000005,33.551,35.347,35.632,3532.15,4792.8,1260.65,35.690726057286255,1.3569072605728627
4,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,36.4897,35.7905,40.14465,44.964,3637.45,4933.2,1295.75,35.622489000076236,1.3562248900007623
4,gateway_transport,gateway_B,ESP32->RPi,decrypt,604.0,3.781281456953643,4.143,4.7691,5.304,116.76655629139073,233.9205298013245,117.15397350993378,100.37666063212902,2.0037666063212902
4,gateway_transport,gateway_B,PC->RPi,decrypt,20.0,36.215349999999994,34.6455,38.33725000000003,75.867,3532.15,4792.8,1260.65,35.690726057286255,1.3569072605728627
4,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,36.63665,35.947,39.39565000000001,56.679,3532.15,4792.8,1260.65,35.690726057286255,1.3569072605728627
4,gateway_transport,gateway_B,RPi->PC,encrypt,20.0,38.31000000000001,38.2465,42.75970000000001,49.746,3624.85,4916.4,1291.55,35.63044810264125,1.3563044810264127
4,server_transport,Asus,PC->RPi,encrypt,20.0,11.7253,11.442,14.329049999999999,14.767,3532.15,4792.8,1260.65,35.690726057286255,1.3569072605728627
4,server_transport,Asus,RPi->PC,decrypt,40.0,12.360875,11.152999999999999,18.298149999999993,22.233,3631.15,4940.8,1309.65,36.067104049454585,1.360671040494546
5,gateway_transport,gateway_A,ESP32->RPi,decrypt,601.0,3.2403677204658896,3.854,4.45,7.586,115.48086522462562,232.25457570715474,116.77371048252911,101.4123642994382,2.0141236429943823
5,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,31.852800000000002,31.700499999999998,34.1929,36.851,3537.9,4800.2,1262.3,35.679386327332935,1.3567938632733294
5,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,33.13185,33.0345,36.35005,36.351,3537.9,4800.2,1262.3,35.679386327332935,1.3567938632733294
5,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,35.5253,35.2055,38.8235,40.505,3639.7,4936.4,1296.7,35.6265636031833,1.3562656360318328
5,gateway_transport,gateway_B,ESP32->RPi,decrypt,601.0,2.979747088186356,3.765,4.582,5.957,116.54575707154743,233.6522462562396,117.10648918469218,100.53711734885395,2.0053711734885393
5,gateway_transport,gateway_B,PC->RPi,decrypt,20.0,34.4244,33.986999999999995,38.01095,38.523,3537.9,4800.2,1262.3,35.679386327332935,1.3567938632733294
5,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,35.4012,35.3455,38.1055,39.35,3537.9,4800.2,1262.3,35.679386327332935,1.3567938632733294
5,gateway_transport,gateway_B,RPi->PC,encrypt,20.0,37.98495,37.4035,47.98055,50.955,3628.1,4920.8,1292.7,35.63024493062626,1.3563024493062625
5,server_transport,Asus,PC->RPi,encrypt,20.0,13.711599999999999,11.9365,17.01640000000002,39.748,3537.9,4800.2,1262.3,35.679386327332935,1.3567938632733294
5,server_transport,Asus,RPi->PC,decrypt,40.0,12.08955,10.9175,19.76359999999999,28.052,3633.9,4944.6,1310.7,36.068705746450945,1.3606870574645096
6,gateway_transport,gateway_A,ESP32->RPi,decrypt,572.0,3.088522727272727,3.7845,4.464249999999998,5.179,115.37237762237763,232.020979020979,116.6486013986014,101.4129810078877,2.0141298100788774
6,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,38.518299999999996,31.2945,84.89615,92.993,3535.2,4796.8,1261.6,35.68682346350582,1.3568682346350585
6,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,32.49510000000001,32.1915,34.84605,34.847,3535.2,4796.8,1261.6,35.68682346350582,1.3568682346350585
6,gateway_transport,gateway_A,RPi->PC,encrypt,19.0,37.477526315789476,36.363,46.966899999999995,49.963,3640.9473684210525,4938.0,1297.0526315789473,35.62406196535016,1.3562406196535013
6,gateway_transport,gateway_B,ESP32->RPi,decrypt,633.0,3.494394944707741,3.975,4.747199999999999,7.668,116.73301737756714,233.9605055292259,117.22748815165876,100.47223511221911,2.0047223511221914
6,gateway_transport,gateway_B,PC->RPi,decrypt,19.0,67.51284210526315,74.766,95.19789999999999,96.637,3535.7894736842104,4797.578947368421,1261.7894736842106,35.686231520818,1.3568623152081802
6,gateway_transport,gateway_B,RPi->ESP32,encrypt,19.0,38.984210526315785,36.095,55.7068,57.496,3535.7894736842104,4797.578947368421,1261.7894736842106,35.686231520818,1.3568623152081802
6,gateway_transport,gateway_B,RPi->PC,encrypt,21.0,38.88171428571429,36.734,51.337,52.229,3625.5238095238096,4917.238095238095,1291.7142857142858,35.62835576564363,1.3562835576564365
6,server_transport,Asus,PC->RPi,encrypt,20.0,11.916249999999998,10.8765,15.801650000000002,18.056,3535.2,4796.8,1261.6,35.68682346350582,1.3568682346350585
6,server_transport,Asus,RPi->PC,decrypt,40.0,11.32775,10.869499999999999,13.83555,19.096,3632.85,4943.1,1310.25,36.066746494211294,1.3606674649421129
7,gateway_transport,gateway_A,ESP32->RPi,decrypt,600.0,3.3868233333333335,4.034,4.738,5.634,115.57,232.36,116.79,101.29025650738004,2.0129025650738
7,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,32.0185,31.9235,33.36405,35.683,3535.85,4798.0,1262.15,35.695795196564404,1.356957951965644
7,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,33.22430000000001,32.8645,36.42415,36.75,3535.85,4798.0,1262.15,35.695795196564404,1.356957951965644
7,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,37.66235,37.0095,41.814600000000006,48.324,3638.5,4934.8,1296.3,35.627325900527,1.35627325900527
7,gateway_transport,gateway_B,ESP32->RPi,decrypt,606.0,3.5611732673267325,4.063,4.86675,8.548,117.003300330033,234.22772277227722,117.22442244224422,100.23286555806844,2.0023286555806843
7,gateway_transport,gateway_B,PC->RPi,decrypt,20.0,80.49145,81.6015,104.06405,104.711,3535.85,4798.0,1262.15,35.695795196564404,1.356957951965644
7,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,41.3263,36.120000000000005,55.13015,56.976,3535.85,4798.0,1262.15,35.695795196564404,1.356957951965644
7,gateway_transport,gateway_B,RPi->PC,encrypt,20.0,37.27735,36.814,43.4176,44.36,3633.0,4927.4,1294.4,35.628961654856894,1.356289616548569
7,server_transport,Asus,PC->RPi,encrypt,20.0,14.14785,11.7355,24.432350000000003,29.721,3535.85,4798.0,1262.15,35.695795196564404,1.356957951965644
7,server_transport,Asus,RPi->PC,decrypt,40.0,12.468,10.99,22.40985,23.888,3635.75,4947.1,1311.35,36.06822206646943,1.3606822206646942
8,gateway_transport,gateway_A,ESP32->RPi,decrypt,602.0,3.255139534883721,3.8855,4.588399999999997,6.748,115.54318936877077,232.3687707641196,116.82558139534883,101.34258662012374,2.013425866201237
8,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,31.5773,31.630000000000003,33.1839,33.372,3535.55,4797.2,1261.65,35.68469810361354,1.3568469810361354
