attempt_id,rounds_observed,completion_rate,last_accuracy,last_loss,best_accuracy,min_loss,avg_round_duration_sec,p95_round_duration_sec,avg_weight_drift_total_abs
3,30.0,1.0,0.916667,0.214765,1.0,0.015347,65.24137931034483,61.0,0.014281366666666677
4,20.0,0.6666666666666666,0.983333,0.037074,1.0,0.037074,63.473684210526315,70.79999999999984,0.011218299999999995
5,20.0,0.6666666666666666,0.983333,0.038647,1.0,0.015779,64.63157894736842,70.99999999999977,0.012252400000000002
6,20.0,0.6666666666666666,0.916667,0.237888,1.0,0.010663,60.63157894736842,65.49999999999997,0.014349500000000001
7,20.0,0.6666666666666666,0.966667,0.151863,1.0,0.022362,59.473684210526315,61.39999999999999,0.012395449999999997
8,20.0,0.6666666666666666,0.95,0.151913,1.0,0.012422,59.68421052631579,63.199999999999996,0.013060399999999996
9,20.0,0.6666666666666666,0.933333,0.178108,1.0,0.024904,59.36842105263158,61.499999999999986,0.014981849999999988
10,20.0,0.6666666666666666,0.933333,0.139853,1.0,0.009494,59.473684210526315,62.3,0.017795949999999998
11,20.0,0.6666666666666666,0.933333,0.123043,1.0,0.012399,59.31578947368421,62.59999999999999,0.013255049999999999
