attempt_id,global_round,accuracy_gateway_A,accuracy_gateway_B,loss_gateway_A,loss_gateway_B,timestamp_dt_gateway_A,timestamp_dt_gateway_B,accuracy_skew_abs,loss_skew_abs,gateway_train_skew_sec,global_accuracy,global_loss
3,1,0.800000011920929,0.699999988079071,0.6607889533042908,0.9278846979141236,2026-04-15 13:31:06,2026-04-15 13:31:07,0.10000002384185791,0.2670957446098329,1.0,0.75,0.794337
3,2,1.0,1.0,0.0977795869112014,0.0883437544107437,2026-04-15 13:32:00,2026-04-15 13:32:00,0.0,0.009435832500457694,0.0,1.0,0.093062
3,3,0.9666666388511658,0.9666666388511658,0.0658856481313705,0.0871630981564521,2026-04-15 13:32:58,2026-04-15 13:33:01,0.0,0.021277450025081593,3.0,0.966667,0.076524
3,4,0.9666666388511658,1.0,0.0386620685458183,0.0211145672947168,2026-04-15 13:34:00,2026-04-15 13:34:00,0.03333336114883423,0.0175475012511015,0.0,0.983333,0.029888
3,5,1.0,1.0,0.0200901199132204,0.0106034241616725,2026-04-15 13:34:59,2026-04-15 13:34:59,0.0,0.009486695751547898,0.0,1.0,0.015347
3,6,0.8666666746139526,0.8333333134651184,0.3961636424064636,0.5216277837753296,2026-04-15 13:38:58,2026-04-15 13:39:03,0.03333336114883423,0.12546414136886597,5.0,0.85,0.458896
3,7,0.8999999761581421,0.800000011920929,0.310750275850296,0.5152953267097473,2026-04-15 13:39:57,2026-04-15 13:40:01,0.09999996423721313,0.2045450508594513,4.0,0.85,0.413023
3,8,0.9333333373069764,0.8666666746139526,0.1919773668050766,0.334399551153183,2026-04-15 13:40:55,2026-04-15 13:41:00,0.06666666269302379,0.14242218434810638,5.0,0.9,0.263188
3,9,0.800000011920929,0.8999999761581421,0.3366148769855499,0.2124364525079727,2026-04-15 13:41:55,2026-04-15 13:41:59,0.09999996423721313,0.12417842447757724,4.0,0.85,0.274526
3,10,0.8666666746139526,0.8666666746139526,0.3305416107177734,0.2796331346035003,2026-04-15 13:42:54,2026-04-15 13:42:58,0.0,0.05090847611427307,4.0,0.866667,0.305087
3,11,0.8666666746139526,0.8666666746139526,0.3338451683521271,0.2944017350673675,2026-04-15 13:43:52,2026-04-15 13:43:57,0.0,0.03944343328475958,5.0,0.866667,0.314123
3,12,1.0,0.8333333134651184,0.0294286180287599,0.5400710701942444,2026-04-15 13:44:51,2026-04-15 13:44:56,0.1666666865348816,0.5106424521654844,5.0,0.916667,0.28475
3,13,0.7666666507720947,0.9666666388511658,0.5469943881034851,0.1308700442314148,2026-04-15 13:45:51,2026-04-15 13:45:55,0.19999998807907104,0.4161243438720703,4.0,0.866667,0.338932
3,14,0.8666666746139526,0.8999999761581421,0.2552396953105926,0.1660375446081161,2026-04-15 13:46:50,2026-04-15 13:46:54,0.03333330154418945,0.0892021507024765,4.0,0.883333,0.210639
3,15,0.8333333134651184,0.8333333134651184,0.4282840192317962,0.182211086153984,2026-04-15 13:47:49,2026-04-15 13:47:53,0.0,0.24607293307781222,4.0,0.833333,0.305248
