attempt_id,device_suffix,rounds_seen,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_num_samples,avg_buffer_target
2,gateway_A,20.0,0.9316666573286057,0.06538348523185745,0.7666666507720947,1.0,0.22797674331814047,0.13186819926285345,0.0318443290889263,0.5549505949020386,30.0,30.0
2,gateway_B,20.0,0.9549999922513962,0.06605973600714589,0.800000011920929,1.0,0.1467380230082199,0.1371035395478824,0.0052225370891392,0.4581771194934845,30.0,30.0
3,gateway_A,20.0,0.9316666632890701,0.07339012159341478,0.7333333492279053,1.0,0.23310622964054345,0.15488037876338068,0.0415299907326698,0.6056469082832336,30.0,30.0
3,gateway_B,20.0,0.9183333307504654,0.0618914790049788,0.7333333492279053,1.0,0.27457509487867354,0.15837201425218897,0.0568285062909126,0.7343930006027222,30.0,30.0
4,gateway_A,20.0,0.8733333289623261,0.09865765821297587,0.699999988079071,1.0,0.25446031652390955,0.1308745722228919,0.0154309570789337,0.4802329242229461,30.0,30.0
4,gateway_B,20.0,1.0,0.0,1.0,1.0,0.016898131444759143,0.04969685018909398,0.0004836879670619,0.2247875034809112,30.0,30.0
5,gateway_A,20.0,0.9349999904632569,0.06189148277692825,0.800000011920929,1.0,0.1954248758032918,0.13552766578374414,0.0328894555568695,0.5080711245536804,30.0,30.0
5,gateway_B,20.0,1.0,0.0,1.0,1.0,0.0640709600062109,0.19469298028461282,0.0003860619617626,0.8445013761520386,30.0,30.0
6,gateway_A,20.0,0.8799999922513961,0.09392667764361391,0.6666666865348816,1.0,0.29303488582372667,0.20806580273091102,0.102720983326435,0.8189403414726257,30.0,30.0
6,gateway_B,20.0,0.8966666638851166,0.08089773547313574,0.6333333253860474,1.0,0.30234424360096457,0.2195855592756749,0.0767272487282753,0.7722305059432983,30.0,30.0
7,gateway_A,20.0,0.9283333271741867,0.08645808059395112,0.699999988079071,1.0,0.23120769253000617,0.20631810486065427,0.0171346757560968,0.7234936952590942,30.0,30.0
7,gateway_B,20.0,0.9066666573286056,0.08205688715360725,0.6666666865348816,1.0,0.3098498912528157,0.20880306470208929,0.0278268530964851,0.7614228129386902,30.0,30.0
