trace_id,attempt_id,global_round,global_timestamp,global_accuracy,global_loss,w3_mag,w4_normal,w4_brute,w4_scan,gateway_A_local_accuracy,gateway_A_local_loss,gateway_A_local_num_samples,gateway_A_local_timestamp,gateway_A_gateway_events,gateway_A_gateway_decrypt_avg_ms,gateway_A_gateway_decrypt_p95_ms,gateway_A_gateway_avg_overhead_bytes,gateway_A_gateway_samples_seen,gateway_A_fog_accuracy,gateway_A_fog_loss,gateway_A_fog_num_samples,gateway_A_fog_peer_count,gateway_A_fog_timestamp,gateway_B_local_accuracy,gateway_B_local_loss,gateway_B_local_num_samples,gateway_B_local_timestamp,gateway_B_gateway_events,gateway_B_gateway_decrypt_avg_ms,gateway_B_gateway_decrypt_p95_ms,gateway_B_gateway_avg_overhead_bytes,gateway_B_gateway_samples_seen,server_rpi_pc_events,server_rpi_pc_avg_ms,server_rpi_pc_p95_ms,server_rpi_pc_avg_overhead_bytes,server_pc_rpi_events,server_pc_rpi_avg_ms,server_pc_rpi_p95_ms,server_pc_rpi_avg_overhead_bytes
attempt:2:round:11,2,11,2026-04-22 17:54:37,0.983333,0.126262,0.286118,0.186329,0.695961,0.524581,1.0,0.1637241691350937,30,2026-04-22 17:54:37,35.0,7.422742857142855,34.203799999999994,283.0,30.0,0.9833333194255828,0.1262617893517017,60,2.0,2026-04-22 17:54:37,0.9666666388511658,0.0887994095683097,30,2026-04-22 17:54:37,33.0,5.480969696969697,35.43019999999999,223.0909090909091,30.0,1.0,11.221,11.221,1325.0,1.0,11.943,11.943,1268.0
attempt:2:round:12,2,12,2026-04-22 17:55:37,0.916667,0.17469,0.29209,0.193435,0.710401,0.542198,0.8666666746139526,0.2322805821895599,30,2026-04-22 17:55:36,33.0,7.704303030303031,37.826,292.8787878787879,28.0,0.9166666567325592,0.1746897771954536,60,2.0,2026-04-22 17:55:36,0.9666666388511658,0.1170989722013473,30,2026-04-22 17:55:35,33.0,5.697181818181818,34.0674,221.75757575757575,30.0,1.0,10.446,10.446,1322.0,1.0,10.215,10.215,1265.0
attempt:2:round:13,2,13,2026-04-22 17:56:35,0.933333,0.121522,0.302238,0.200138,0.720591,0.569626,0.8999999761581421,0.1959331929683685,30,2026-04-22 17:56:35,35.0,6.828685714285713,35.823699999999995,282.85714285714283,30.0,0.933333307504654,0.1215218361467123,60,2.0,2026-04-22 17:56:35,0.9666666388511658,0.047110479325056,30,2026-04-22 17:56:35,33.0,5.425090909090909,30.941799999999997,222.9090909090909,30.0,1.0,23.919,23.919,1326.0,1.0,23.261,23.261,1272.0
attempt:2:round:14,2,14,2026-04-22 17:57:34,0.983333,0.077948,0.30996,0.193935,0.727903,0.584202,0.9666666388511658,0.1506733447313308,30,2026-04-22 17:57:34,37.0,6.9138918918918915,36.0498,274.4054054054054,32.0,0.9833333194255828,0.077947940910235,60,2.0,2026-04-22 17:57:34,1.0,0.0052225370891392,30,2026-04-22 17:57:34,33.0,5.632848484848485,31.497,223.0909090909091,30.0,1.0,10.515,10.515,1328.0,1.0,11.099,11.099,1275.0
attempt:2:round:15,2,15,2026-04-22 17:58:32,0.933333,0.101683,0.313667,0.202404,0.749652,0.594531,0.8999999761581421,0.1485199481248855,30,2026-04-22 17:58:32,33.0,7.915878787878787,36.0864,294.5151515151515,28.0,0.933333307504654,0.1016830615699291,60,2.0,2026-04-22 17:58:32,0.9666666388511658,0.0548461750149726,30,2026-04-22 17:58:32,33.0,6.360060606060605,33.099199999999996,222.6060606060606,30.0,1.0,20.73,20.73,1329.0,1.0,21.019,21.019,1272.0
attempt:2:round:16,2,16,2026-04-22 17:59:31,1.0,0.049663,0.31477,0.197011,0.745253,0.6077,1.0,0.0387886315584182,30,2026-04-22 17:59:31,35.0,6.7838,35.4675,283.48571428571427,30.0,1.0,0.0496632196009159,60,2.0,2026-04-22 17:59:31,1.0,0.0605378076434135,30,2026-04-22 17:59:31,33.0,6.190636363636363,32.4642,222.54545454545453,30.0,1.0,11.343,11.343,1318.0,1.0,11.683,11.683,1270.0
attempt:2:round:17,2,17,2026-04-22 18:00:30,0.966667,0.086216,0.318098,0.2091,0.757397,0.620195,0.9333333373069764,0.1585970073938369,30,2026-04-22 18:00:30,35.0,7.2504,33.74869999999999,283.0571428571429,30.0,0.9666666686534882,0.0862161740660667,60,2.0,2026-04-22 18:00:30,1.0,0.0138353407382965,30,2026-04-22 18:00:29,33.0,5.799030303030303,32.0058,221.45454545454547,30.0,1.0,11.006,11.006,1328.0,1.0,10.359,10.359,1271.0
attempt:2:round:18,2,18,2026-04-22 18:01:29,0.983333,0.104786,0.321283,0.209788,0.763098,0.632898,0.9666666388511658,0.1944890022277832,30,2026-04-22 18:01:28,37.0,6.4046486486486485,35.873999999999995,274.35135135135135,32.0,0.9833333194255828,0.104785650037229,60,2.0,2026-04-22 18:01:29,1.0,0.0150822978466749,30,2026-04-22 18:01:29,33.0,5.467242424242425,35.0402,222.57575757575756,30.0,1.0,10.976,10.976,1325.0,1.0,17.756,17.756,1272.0
attempt:2:round:19,2,19,2026-04-22 18:02:28,1.0,0.050418,0.32319,0.210453,0.772739,0.630067,1.0,0.0892039164900779,30,2026-04-22 18:02:27,35.0,7.519314285714287,36.1962,283.48571428571427,30.0,1.0,0.0504184681922197,60,2.0,2026-04-22 18:02:28,1.0,0.0116330198943614,30,2026-04-22 18:02:28,33.0,5.190818181818182,35.7978,222.3030303030303,30.0,1.0,12.413,12.413,1323.0,1.0,13.969,13.969,1272.0
attempt:2:round:20,2,20,2026-04-22 18:03:27,0.95,0.127952,0.326618,0.21708,0.782407,0.642261,0.8999999761581421,0.2426077276468277,30,2026-04-22 18:03:26,35.0,7.2991142857142846,35.992599999999996,283.0571428571429,30.0,0.949999988079071,0.1279520983807742,60,2.0,2026-04-22 18:03:27,1.0,0.0132964691147208,30,2026-04-22 18:03:27,33.0,5.470878787878788,34.742799999999995,222.72727272727272,30.0,1.0,10.636,10.636,1326.0,1.0,10.43,10.43,1272.0
