round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,19:20:33,0.983333,0.68938,0.192053,0.153913,0.212697,0.265455
2,19:21:17,1.0,0.473207,0.202377,0.161782,0.276063,0.316677
3,19:22:06,1.0,0.105905,0.221448,0.20915,0.343557,0.374398
4,19:25:02,0.85,0.422569,0.223444,0.212566,0.357328,0.380829
5,19:25:52,0.866667,0.353141,0.223789,0.201229,0.36082,0.3699
6,19:26:43,0.816667,0.416387,0.226011,0.190999,0.347492,0.367087
7,19:27:32,0.816667,0.489368,0.230699,0.177589,0.37326,0.366965
8,19:28:23,0.866667,0.353398,0.241558,0.185837,0.418759,0.384256
9,19:29:13,0.9,0.288509,0.255391,0.215996,0.460387,0.413112
10,19:30:02,0.966667,0.107518,0.268389,0.247373,0.489064,0.436944
11,19:30:52,0.933333,0.172438,0.27966,0.270782,0.497488,0.462614
12,19:31:42,0.933333,0.213209,0.283924,0.285414,0.511708,0.479051
13,19:32:32,0.983333,0.117021,0.29118,0.302615,0.524211,0.502764
14,19:33:22,0.966667,0.090753,0.298937,0.319031,0.532866,0.521979
15,19:34:12,0.9,0.250703,0.304069,0.329871,0.539354,0.531892
16,19:35:02,0.933333,0.204283,0.305967,0.332825,0.546263,0.537547
17,19:35:52,0.95,0.122166,0.311976,0.33785,0.549227,0.543775
18,19:36:42,0.933333,0.201484,0.310144,0.333747,0.54846,0.544226
19,19:37:32,0.9,0.38125,0.312723,0.336503,0.556138,0.548428
20,19:38:23,0.983333,0.061129,0.314979,0.339353,0.562947,0.549162
