round,time,accuracy,loss,w3_mag,w4_normal,w4_brute,w4_scan
1,18:20:12,0.716667,0.77096,0.167188,0.334815,0.235424,0.270418
2,18:20:55,0.75,0.558567,0.180008,0.334499,0.274194,0.278522
3,18:21:45,0.7,0.571676,0.189003,0.327362,0.299473,0.28096
4,18:22:35,0.733333,0.513491,0.194681,0.320529,0.307987,0.287944
5,18:23:25,0.816667,0.365299,0.198953,0.328563,0.313447,0.30224
6,18:24:15,0.9,0.274428,0.202987,0.3297,0.323338,0.315794
7,18:25:05,0.866667,0.418341,0.208466,0.347313,0.32631,0.325528
8,18:25:55,0.866667,0.32534,0.212303,0.364647,0.327842,0.340733
9,18:26:45,0.9,0.217045,0.215071,0.368675,0.336214,0.356166
10,18:27:35,0.8,0.380577,0.216048,0.35696,0.342634,0.351964
11,18:28:25,0.866667,0.226131,0.21668,0.361831,0.345567,0.364075
12,18:29:15,0.916667,0.217067,0.219407,0.375047,0.346496,0.375696
13,18:30:05,0.933333,0.238653,0.220842,0.376034,0.348452,0.38156
14,18:30:55,0.866667,0.214628,0.222329,0.379869,0.352978,0.394023
15,18:31:45,0.9,0.268852,0.225113,0.397323,0.349554,0.39818
16,18:32:35,0.95,0.176146,0.228366,0.413714,0.344564,0.404387
17,18:33:25,0.866667,0.235649,0.226814,0.400002,0.346217,0.397895
18,18:34:16,0.95,0.171881,0.227466,0.405569,0.352174,0.401892
19,18:35:05,0.9,0.285785,0.225333,0.395255,0.349163,0.378753
20,18:35:55,0.833333,0.333604,0.22349,0.375606,0.364178,0.376758
