variant,model,security,topology,attempt_id,attempt_dir,gateway_transport_files,server_transport_files,model_metric_files,global_history_files
RN_ASCON_NoFOG,RN,ASCON,NoFOG,7,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#7,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,8,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#8,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,9,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#9,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,10,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#10,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,11,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#11,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,12,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#12,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,13,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#13,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,14,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#14,2,1,2,1
RN_ASCON_NoFOG,RN,ASCON,NoFOG,15,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-RN\Results\#15,2,1,2,1
RN_PLAIN_FOG,RN,PLAIN,FOG,2,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#2,2,1,2,1
RN_PLAIN_FOG,RN,PLAIN,FOG,3,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#3,2,1,2,1
RN_PLAIN_FOG,RN,PLAIN,FOG,4,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results_FOG\#4,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,16,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#16,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,17,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#17,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,18,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#18,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,19,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#19,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,20,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#20,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,21,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#21,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,22,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#22,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,23,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#23,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,24,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#24,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,25,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#25,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,26,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#26,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,27,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#27,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,28,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#28,2,1,2,1
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,29,C:\Users\VivoBook\Downloads\microproyecto2\microproyecto 2 porque wtf\src\hfl_v7-no-ascon-RN\Results\#29,2,1,2,1
