variant,model,security,topology,attempt_id,device_suffix,rounds_seen,avg_accuracy,std_accuracy,min_accuracy,max_accuracy,avg_loss,std_loss,min_loss,max_loss,avg_num_samples,avg_buffer_target
CNN_ASCON_FOG,CNN,ASCON,FOG,2,gateway_A,20.0,0.9316666573286057,0.06538348523185745,0.7666666507720947,1.0,0.22797674331814047,0.13186819926285345,0.0318443290889263,0.5549505949020386,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,2,gateway_B,20.0,0.9549999922513962,0.06605973600714589,0.800000011920929,1.0,0.1467380230082199,0.1371035395478824,0.0052225370891392,0.4581771194934845,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,3,gateway_A,20.0,0.9316666632890701,0.07339012159341478,0.7333333492279053,1.0,0.23310622964054345,0.15488037876338068,0.0415299907326698,0.6056469082832336,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,3,gateway_B,20.0,0.9183333307504654,0.0618914790049788,0.7333333492279053,1.0,0.27457509487867354,0.15837201425218897,0.0568285062909126,0.7343930006027222,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_A,20.0,0.8733333289623261,0.09865765821297587,0.699999988079071,1.0,0.25446031652390955,0.1308745722228919,0.0154309570789337,0.4802329242229461,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_B,20.0,1.0,0.0,1.0,1.0,0.016898131444759143,0.04969685018909398,0.0004836879670619,0.2247875034809112,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_A,20.0,0.9349999904632569,0.06189148277692825,0.800000011920929,1.0,0.1954248758032918,0.13552766578374414,0.0328894555568695,0.5080711245536804,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,5,gateway_B,20.0,1.0,0.0,1.0,1.0,0.0640709600062109,0.19469298028461282,0.0003860619617626,0.8445013761520386,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_A,20.0,0.8799999922513961,0.09392667764361391,0.6666666865348816,1.0,0.29303488582372667,0.20806580273091102,0.102720983326435,0.8189403414726257,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,6,gateway_B,20.0,0.8966666638851166,0.08089773547313574,0.6333333253860474,1.0,0.30234424360096457,0.2195855592756749,0.0767272487282753,0.7722305059432983,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_A,20.0,0.9283333271741867,0.08645808059395112,0.699999988079071,1.0,0.23120769253000617,0.20631810486065427,0.0171346757560968,0.7234936952590942,30.0,30.0
CNN_ASCON_FOG,CNN,ASCON,FOG,7,gateway_B,20.0,0.9066666573286056,0.08205688715360725,0.6666666865348816,1.0,0.3098498912528157,0.20880306470208929,0.0278268530964851,0.7614228129386902,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_A,20.0,0.9016666561365128,0.07186020127042038,0.699999988079071,1.0,0.268017665296793,0.1539792131138169,0.0917788222432136,0.6839560270309448,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,gateway_B,20.0,0.9983333319425582,0.0072648376348156615,0.9666666388511658,1.0,0.038882110657868875,0.09892839675126656,0.0005905439611524,0.436668336391449,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_A,20.0,0.9416666567325592,0.0556526906553594,0.7666666507720947,1.0,0.17986022904515264,0.1501552407214397,0.0452899858355522,0.7180111408233643,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,gateway_B,20.0,0.9466666579246521,0.058118651851251105,0.7666666507720947,1.0,0.2019111497327685,0.1827952400737375,0.0101945903152227,0.8265332579612732,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,3,gateway_A,20.0,0.963333323597908,0.05153208857524327,0.8333333134651184,1.0,0.15627622846513983,0.15342473187288735,0.0289584435522556,0.5567048192024231,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,3,gateway_B,20.0,0.9383333206176758,0.07247604855077351,0.7333333492279053,1.0,0.2166384849697351,0.21558036958997315,0.0253770612180233,0.8567329049110413,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,4,gateway_A,20.0,0.9499999910593033,0.05109903323162687,0.8333333134651184,1.0,0.15983545407652852,0.12450520210863736,0.0265829004347324,0.533106803894043,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,4,gateway_B,20.0,0.9900000005960464,0.04358898683730051,0.800000011920929,1.0,0.040625150178675476,0.11383826460982158,0.0007309659267775,0.5182562470436096,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,5,gateway_A,20.0,0.9433333247900009,0.050662281806064365,0.8333333134651184,1.0,0.19244419708847998,0.1328663683147497,0.0336960889399051,0.5019168257713318,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,5,gateway_B,20.0,0.9933333337306977,0.02905932455820034,0.8666666746139526,1.0,0.04169574755942445,0.12411039233811585,0.0006346486625261,0.5691150426864624,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,6,gateway_A,20.0,0.9316666632890701,0.054237131104978735,0.800000011920929,1.0,0.21107199527323242,0.1437430705939775,0.0476860292255878,0.5524110794067383,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,6,gateway_B,20.0,0.9649999916553498,0.049972223102977886,0.8333333134651184,1.0,0.12573574135312807,0.13526872410770854,0.0034138911869376,0.4325353503227234,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,7,gateway_A,20.0,0.8866666555404663,0.08717797663735491,0.6333333253860474,0.9666666388511658,0.26139691434800627,0.1411427114448682,0.1241103634238243,0.6330394744873047,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,7,gateway_B,20.0,0.8949999988079071,0.05894912983756736,0.800000011920929,1.0,0.25435862839221957,0.10544329544808671,0.1132808029651641,0.4600861966609955,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,8,gateway_A,20.0,0.8783333331346512,0.06772082722639995,0.800000011920929,1.0,0.2941672446206212,0.12501369197474252,0.0399566181004047,0.519302248954773,30.0,30.0
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,8,gateway_B,20.0,0.8716666638851166,0.11415145379943203,0.6000000238418579,1.0,0.2867615330964327,0.17828956102245103,0.0641235262155532,0.6739161014556885,30.0,30.0
CNN_PLAIN_FOG,CNN,PLAIN,FOG,2,gateway_fog_leader,20.0,0.8933333277702331,0.07272474063739648,0.7333333492279053,1.0,0.31846810653805735,0.18186902352550596,0.0695655271410942,0.781461775302887,30.0,30.0
CNN_PLAIN_FOG,CNN,PLAIN,FOG,2,gateway_fog_peer,20.0,0.9166666597127915,0.066248691763848,0.7666666507720947,1.0,0.27090997751802204,0.16604692823600178,0.041340447962284,0.6519986987113953,30.0,30.0
CNN_PLAIN_FOG,CNN,PLAIN,FOG,4,gateway_fog_leader,20.0,0.8666666583581404,0.07521013522385364,0.6666666865348816,0.9666666388511658,0.36037237400358374,0.18179005136570106,0.1654703468084335,0.7279154062271118,30.0,30.0
CNN_PLAIN_FOG,CNN,PLAIN,FOG,4,gateway_fog_peer,20.0,1.0,0.0,1.0,1.0,0.03383382527972566,0.08451023451497833,0.0009950411040335,0.2973297536373138,30.0,30.0
