variant,model,security,topology,attempt_id,source_scope,device_suffix,channel,operation,events,avg_ms,median_ms,p95_ms,max_ms,avg_pt_bytes,avg_enc_bytes,avg_overhead_bytes,avg_overhead_ratio_pct,avg_expansion_ratio
CNN_ASCON_FOG,CNN,ASCON,FOG,3,server_transport,Asus,RPi->PC,decrypt,20.0,13.9329,12.1475,24.199400000000004,27.589,3683.25,5010.0,1326.75,36.02123171353792,1.3602123171353793
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,ESP32->RPi,decrypt,601.0,2.544990016638935,1.528,4.382,4.966,114.53577371048253,230.9034941763727,116.36772046589019,101.99551688043996,2.0199551688043997
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_B,ESP32->RPi,decrypt,604.0,2.9165728476821196,3.6075,4.59785,5.377,116.76655629139073,234.05298013245033,117.2864238410596,100.49361946823178,2.004936194682318
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,PC->RPi,decrypt,20.0,34.54235,33.411,37.83685000000001,52.255,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,RPi->ESP32,encrypt,20.0,35.987399999999994,35.5975,38.5093,48.053,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_B,RPi->ESP32,encrypt,20.0,42.52515,37.2275,61.210650000000015,81.686,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,RPi->PC,encrypt,20.0,41.0129,36.977500000000006,74.9494,77.712,3690.45,5003.6,1313.15,35.582386393989935,1.3558238639398994
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_B,RPi_leader->RPi_peer,decrypt,20.0,62.70399999999999,70.4195,99.23615,103.115,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,RPi_leader->RPi_peer,encrypt,20.0,35.4349,35.081,37.58515,37.74,3575.65,4851.4,1275.75,35.67887169248128,1.3567887169248125
CNN_ASCON_FOG,CNN,ASCON,FOG,4,gateway_transport,gateway_A,RPi_peer->RPi_leader,decrypt,20.0,61.5563,73.63,97.5826,99.171,3665.1,4970.4,1305.3,35.614332550838434,1.3561433255083846
