variant,model,security,topology,attempt_id,rounds_observed,completion_rate,last_accuracy,last_loss,best_accuracy,min_loss,avg_round_duration_sec,p95_round_duration_sec,avg_weight_drift_total_abs
CNN_ASCON_FOG,CNN,ASCON,FOG,2,20.0,0.6666666666666666,0.95,0.127952,1.0,0.035616,58.63157894736842,60.39999999999999,0.06610229999999997
CNN_ASCON_FOG,CNN,ASCON,FOG,3,20.0,0.6666666666666666,0.95,0.140719,1.0,0.094782,58.94736842105263,64.1,0.05930464999999998
CNN_ASCON_FOG,CNN,ASCON,FOG,4,20.0,0.6666666666666666,1.0,0.071088,1.0,0.014089,58.578947368421055,60.39999999999999,0.051690599999999996
CNN_ASCON_FOG,CNN,ASCON,FOG,5,20.0,0.6666666666666666,1.0,0.024727,1.0,0.016806,58.78947368421053,61.199999999999996,0.04732460000000001
CNN_ASCON_FOG,CNN,ASCON,FOG,6,20.0,0.6666666666666666,0.95,0.150578,0.983333,0.118967,58.31578947368421,59.099999999999994,0.0507416
CNN_ASCON_FOG,CNN,ASCON,FOG,7,20.0,0.6666666666666666,1.0,0.03105,1.0,0.03105,58.36842105263158,60.0,0.052257599999999994
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,1,20.0,0.6666666666666666,0.983333,0.062082,1.0,0.046373,59.526315789473685,61.79999999999998,0.01668885000000002
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,2,20.0,0.6666666666666666,0.983333,0.034544,1.0,0.034544,58.63157894736842,59.39999999999999,0.030046700000000003
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,3,20.0,0.6666666666666666,0.95,0.12126,1.0,0.035118,58.73684210526316,60.39999999999999,0.028195649999999982
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,4,20.0,0.6666666666666666,1.0,0.034302,1.0,0.013726,58.94736842105263,61.3,0.02081235000000001
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,5,20.0,0.6666666666666666,0.983333,0.025146,1.0,0.017622,58.89473684210526,60.3,0.018641149999999978
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,6,20.0,0.6666666666666666,0.883333,0.288282,1.0,0.048005,59.78947368421053,64.39999999999999,0.025928350000000024
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,7,20.0,0.6666666666666666,0.966667,0.118696,0.966667,0.118696,58.68421052631579,60.199999999999996,0.016779749999999982
CNN_ASCON_NoFOG,CNN,ASCON,NoFOG,8,20.0,0.6666666666666666,0.933333,0.147536,1.0,0.05204,58.526315789473685,60.199999999999996,0.018433549999999983
CNN_PLAIN_FOG,CNN,PLAIN,FOG,2,20.0,0.6666666666666666,0.95,0.137464,1.0,0.056204,59.63157894736842,69.7999999999996,0.04857230000000001
CNN_PLAIN_FOG,CNN,PLAIN,FOG,4,20.0,0.6666666666666666,0.966667,0.070961,1.0,0.049561,50.0,50.59999999999999,0.040410800000000004
CNN_PLAIN_FOG,CNN,PLAIN,FOG,6,20.0,0.6666666666666666,0.916667,0.148495,0.933333,0.148495,54.94736842105263,59.99999999999979,0.04076885
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,2,20.0,0.6666666666666666,0.983333,0.061129,1.0,0.061129,56.31578947368421,63.49999999999973,0.054003250000000017
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,4,20.0,0.6666666666666666,1.0,0.033554,1.0,0.020879,50.05263157894737,52.3,0.027522000000000008
CNN_PLAIN_NoFOG,CNN,PLAIN,NoFOG,6,20.0,0.6666666666666666,0.833333,0.314242,0.933333,0.188042,49.68421052631579,51.0,0.03972715
RN_ASCON_FOG,RN,ASCON,FOG,2,20.0,0.6666666666666666,0.916667,0.137873,1.0,0.012215,96.6842105263158,131.19999999999848,0.0157512
RN_ASCON_FOG,RN,ASCON,FOG,3,20.0,0.6666666666666666,1.0,0.042478,1.0,0.011003,69.21052631578948,79.8999999999996,0.0162997
RN_ASCON_FOG,RN,ASCON,FOG,4,20.0,0.6666666666666666,0.966667,0.104373,1.0,0.010168,59.68421052631579,62.09999999999998,0.012791150000000006
RN_ASCON_FOG,RN,ASCON,FOG,5,20.0,0.6666666666666666,0.983333,0.047601,1.0,0.017994,60.421052631578945,63.699999999999946,0.01251954999999999
RN_ASCON_FOG,RN,ASCON,FOG,9,20.0,0.6666666666666666,0.95,0.2298,1.0,0.02099,69.63157894736842,80.49999999999956,0.016350150000000015
RN_ASCON_NoFOG,RN,ASCON,NoFOG,2,4.0,0.13333333333333333,0.933333,0.142698,0.933333,0.142698,57.333333333333336,58.9,0.01409649999999997
RN_ASCON_NoFOG,RN,ASCON,NoFOG,3,30.0,1.0,0.916667,0.214765,1.0,0.015347,65.24137931034483,61.0,0.014281366666666677
RN_ASCON_NoFOG,RN,ASCON,NoFOG,4,20.0,0.6666666666666666,0.983333,0.037074,1.0,0.037074,63.473684210526315,70.79999999999984,0.011218299999999995
RN_ASCON_NoFOG,RN,ASCON,NoFOG,5,20.0,0.6666666666666666,0.983333,0.038647,1.0,0.015779,64.63157894736842,70.99999999999977,0.012252400000000002
RN_ASCON_NoFOG,RN,ASCON,NoFOG,6,20.0,0.6666666666666666,0.916667,0.237888,1.0,0.010663,60.63157894736842,65.49999999999997,0.014349500000000001
RN_ASCON_NoFOG,RN,ASCON,NoFOG,7,20.0,0.6666666666666666,0.966667,0.151863,1.0,0.022362,59.473684210526315,61.39999999999999,0.012395449999999997
RN_ASCON_NoFOG,RN,ASCON,NoFOG,8,20.0,0.6666666666666666,0.95,0.151913,1.0,0.012422,59.68421052631579,63.199999999999996,0.013060399999999996
RN_ASCON_NoFOG,RN,ASCON,NoFOG,9,20.0,0.6666666666666666,0.933333,0.178108,1.0,0.024904,59.36842105263158,61.499999999999986,0.014981849999999988
RN_ASCON_NoFOG,RN,ASCON,NoFOG,10,20.0,0.6666666666666666,0.933333,0.139853,1.0,0.009494,59.473684210526315,62.3,0.017795949999999998
RN_ASCON_NoFOG,RN,ASCON,NoFOG,11,20.0,0.6666666666666666,0.933333,0.123043,1.0,0.012399,59.31578947368421,62.59999999999999,0.013255049999999999
RN_ASCON_NoFOG,RN,ASCON,NoFOG,12,27.0,0.9,0.9,0.182633,1.0,0.01315,68.42307692307692,97.0,0.015623296296296293
RN_ASCON_NoFOG,RN,ASCON,NoFOG,13,20.0,0.6666666666666666,0.933333,0.149011,1.0,0.007863,80.26315789473684,219.19999999999976,0.01986475000000001
RN_ASCON_NoFOG,RN,ASCON,NoFOG,14,22.0,0.7333333333333333,0.966667,0.132259,1.0,0.013924,69.57142857142857,108.0,0.014680863636363633
RN_ASCON_NoFOG,RN,ASCON,NoFOG,15,23.0,0.7666666666666667,0.883333,0.283482,1.0,0.017947,193.86363636363637,220.54999999999987,0.02059091304347826
RN_PLAIN_FOG,RN,PLAIN,FOG,2,20.0,0.6666666666666666,0.866667,0.32798,1.0,0.017691,72.15789473684211,92.6999999999991,0.014212050000000009
RN_PLAIN_FOG,RN,PLAIN,FOG,3,20.0,0.6666666666666666,0.9,0.184788,1.0,0.032681,74.15789473684211,98.89999999999903,0.018209450000000005
RN_PLAIN_FOG,RN,PLAIN,FOG,4,20.0,0.6666666666666666,0.933333,0.146945,1.0,0.016886,55.10526315789474,60.299999999999784,0.011817349999999999
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,16,20.0,0.6666666666666666,0.933333,0.155369,1.0,0.020206,62.73684210526316,74.79999999999947,0.014938950000000006
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,17,30.0,1.0,0.866667,0.261434,1.0,0.017993,50.10344827586207,51.599999999999994,0.014587999999999995
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,18,20.0,0.6666666666666666,0.933333,0.089868,1.0,0.0196,50.10526315789474,52.199999999999996,0.013748200000000007
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,19,20.0,0.6666666666666666,0.933333,0.103459,1.0,0.012719,50.05263157894737,51.59999999999999,0.010497800000000005
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,20,20.0,0.6666666666666666,0.966667,0.058061,1.0,0.017869,50.05263157894737,51.59999999999999,0.014106499999999998
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,21,19.0,0.6333333333333333,0.966667,0.085369,1.0,0.037669,50.05555555555556,51.74999999999999,0.011904105263157888
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,22,20.0,0.6666666666666666,0.966667,0.143433,1.0,0.010939,50.05263157894737,51.59999999999999,0.012736750000000002
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,23,20.0,0.6666666666666666,0.883333,0.269965,1.0,0.021956,50.26315789473684,53.499999999999986,0.013655650000000005
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,24,20.0,0.6666666666666666,0.933333,0.140267,1.0,0.014622,50.1578947368421,52.499999999999986,0.0151944
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,25,20.0,0.6666666666666666,0.95,0.203323,0.983333,0.083719,50.31578947368421,52.79999999999998,0.011527449999999986
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,26,20.0,0.6666666666666666,0.933333,0.139039,1.0,0.01632,50.1578947368421,52.59999999999999,0.01495879999999999
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,27,20.0,0.6666666666666666,0.933333,0.147609,1.0,0.016891,50.1578947368421,54.099999999999994,0.016507099999999993
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,28,20.0,0.6666666666666666,0.883333,0.23971,1.0,0.023274,50.21052631578947,52.09999999999998,0.015662700000000012
RN_PLAIN_NoFOG,RN,PLAIN,NoFOG,29,20.0,0.6666666666666666,0.933333,0.176987,0.983333,0.10292,49.73684210526316,50.099999999999994,0.01047075000000001
