variant,attempt_id,global_round,gateway_a,gateway_b,accuracy_gateway_A,accuracy_gateway_B,accuracy_skew_abs,loss_gateway_A,loss_gateway_B,loss_skew_abs,gateway_train_skew_sec,accuracy_gateway_fog_leader,accuracy_gateway_fog_peer,loss_gateway_fog_leader,loss_gateway_fog_peer,global_accuracy,global_loss
CNN_ASCON_FOG,2,1,gateway_A,gateway_B,1.0,1.0,0.0,0.5549505949020386,0.2899053990840912,0.2650451958179474,3.0,,,,,1.0,0.422428
CNN_ASCON_FOG,2,2,gateway_A,gateway_B,1.0,1.0,0.0,0.3466468453407287,0.2357370108366012,0.1109098345041275,0.0,,,,,1.0,0.291192
CNN_ASCON_FOG,2,3,gateway_A,gateway_B,1.0,1.0,0.0,0.0318443290889263,0.0393873788416385,0.007543049752712201,5.0,,,,,1.0,0.035616
CNN_ASCON_FOG,2,4,gateway_A,gateway_B,0.800000011920929,0.800000011920929,0.0,0.4928201735019684,0.4581771194934845,0.03464305400848389,2.0,,,,,0.8,0.475499
CNN_ASCON_FOG,2,5,gateway_A,gateway_B,0.7666666507720947,0.800000011920929,0.03333336114883423,0.4080157876014709,0.3734454810619354,0.03457030653953547,1.0,,,,,0.783333,0.390731
CNN_ASCON_FOG,2,6,gateway_A,gateway_B,0.9333333373069764,0.8333333134651184,0.10000002384185802,0.2533549070358276,0.3501715064048767,0.09681659936904913,0.0,,,,,0.883333,0.301763
CNN_ASCON_FOG,2,7,gateway_A,gateway_B,0.9666666388511658,0.9666666388511658,0.0,0.1493038386106491,0.1823448240756988,0.03304098546504969,0.0,,,,,0.966667,0.165824
CNN_ASCON_FOG,2,8,gateway_A,gateway_B,0.8999999761581421,0.8999999761581421,0.0,0.228668674826622,0.2400979697704315,0.011429294943809482,0.0,,,,,0.9,0.234383
CNN_ASCON_FOG,2,9,gateway_A,gateway_B,0.8999999761581421,0.9333333373069764,0.03333336114883434,0.2386022508144378,0.2530836760997772,0.014481425285339411,0.0,,,,,0.916667,0.245843
CNN_ASCON_FOG,2,10,gateway_A,gateway_B,0.9333333373069764,1.0,0.06666666269302357,0.2405099421739578,0.0849475860595703,0.1555623561143875,0.0,,,,,0.966667,0.162729
CNN_ASCON_FOG,2,11,gateway_A,gateway_B,1.0,0.9666666388511658,0.03333336114883423,0.1637241691350937,0.0887994095683097,0.07492475956678399,0.0,,,,,0.983333,0.126262
